taxon	5.8S-ribosomal-RNA	rbcL	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	ndhF	
Barringtonia fusicarpa	AF208698				
Barringtonia apiculata		FJ976120			
Barringtonia calyptrocalyx		JF738495			
Barringtonia novaehiberniae		JF738435			
Barringtonia edulis			DQ417931	DQ388174	
Barringtonia racemosa	AF208699	AF088853	DQ417932	DQ388175	
Barringtonia asiatica	AF208700	AJ247618	DQ417930	AF421044	
