taxon	contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)-gene	psbA	matK	unknown	rps16	ndhF	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	NADH-dehydrogenase-subunit-F	unknown.1	matK.1	rbcL	
Cordia superba		JF427946		AY321615					JF332085			
Cordia martinicensis							EU862008	EU862032	EU862056			
Cordia pringlei							EU862014	EU862038	EU862062			
Cordia oaxacana							EU862010	EU862034	EU862058			
Cordia lasiocalyx		JF427942							JF332081		GQ981714	
Cordia taguahyensis		JF427948		AY321616					JF332087			
Cordia dichotoma		JF427954							JF332093		JX141399	
Cordia glabrata		JF427958		AY701578					JF332097			
Cordia croatii							EU861997	EU862024	EU862048			
Cordia dwyeri		JF427940					EU862001		EU862052			
Cordia insignis		JF427959		AY701584					JF332098			
Cordia tetrandra		JF427937		AY701588					JF332076			
Cordia goeldiana		JF427963		AY701580					JF332102			
Cordia rufescens		JF427947		AY321611					JF332086			
Cordia lucidula		JF427943					EU862007		JF332082			
Cordia ecalyculata		JF427918		AY321600					JF332057			
Cordia guineensis		JF427957		AY321605					JF332096			
Cordia bordasii		JF427966		AY321596					JF332105			
Cordia podocephala							EU862012	EU862036	EU862060			
Cordia megalantha		JF427962		AY701586					JF332101			
Cordia boissieri				EU862066			EU861995	EU862022	EU862046			
Cordia borinquensis		HM446916							AY321597	HM446678	HM446784	
Cordia bifurcata				AF402575			EU861994	EU862021	EU862045			
Cordia spinescens				AY701587			EU862016	EU862040	EU862063			
Cordia polycephala						HM443787	EU862013	EU862037	EU862061			
Cordia curassavica		JF427975		AY321621			EU861998	EU862025	EU862049			
Cordia sagotii	FJ039340	FJ038863	FJ514773							JQ626469	FJ037971	
Cordia sebestena		JF427968		AF402579			EU862015	EU862039	JF332107			
Cordia elaeagnoides		JF427967		AY321601			EU862002	EU862028	JF332106			
Cordia monoica		JF427956		AY176071					JF332095	JF270721	JF265368	
Cordia inermis							EU862005	EU862031	EU862055	JQ587107	JQ590906	
Cordia nevillii	HQ412979				HQ385199	HQ384860				HQ384571	HQ384923	
Cordia cymosa		JF427944					EU861999	EU862026	EU862050	JQ587084	JQ590886	
Cordia bicolor		JF427929					EU861993	EU862020	JF332068	GQ981973	JQ590882	
Cordia sinensis	EU600005		JF270723				EU599917	EU599741	AY176073	EU599653	JF265370	
Cordia alliodora		JQ710508	JQ587076	AY321594			EU861992	EU862019	EU862044	GQ981972		
Cordia gerascanthus		JF427961		AY701590			EU862003	EU862029	EU862053	JQ587094	JQ590897	
Cordia collococca		JF427953		AY176068			EU861996	EU862023	EU862047	JQ587082	JQ590885	
Cordia panamensis		JF427921		AY321609			EU862011	EU862035	EU862059	JQ587115	JQ590919	
Cordia decandra	EF688851	HQ286227		AY321599	EF689005	EF688954			EF688903			
Cordia trichotoma	EU600003	JF427960		AF402580			EU599915	EU599739	JF332099	EU599651	EU599827	
Cordia nodosa	HQ286269	JF427933		AY701598	HQ286261	AF047808	EU862009	EU862033	EU862057			
Cordia myxa	EU600004	JF427955		AF402578	HQ286262		EU599916	EU599740	JF332094	EU599652	EU599828	
Cordia dentata	EU600006	JF427965	JQ587086	AY176069	HQ286263		EU862000	EU862027	EU862051	EU599654	JQ590888	
