taxon	unknown	
Corokia buddleioides	EU886828	
Corokia whiteana	EU886833	
Corokia collenettei	EU886830	
Corokia macrocarpa	EU886832	
Corokia cotoneaster	EU886831	
Corokia carpodetoides	EU886829	
