taxon	trnK	
Lonchostoma esterhuyseniae	AY490920	
Lonchostoma monogynum	AY490917	
Lonchostoma purpureum	AY490921	
Lonchostoma myrtoides	AY490918	
Lonchostoma pentandrum	AY490919	
