taxon	trnK	5.8S-ribosomal-RNA	
Brunia alopecuroides	AY490959		
Brunia albiflora	AY490953		
Brunia neglecta	AY490945		
Brunia stokoei	AY490952	AY494008	
Brunia macrocephala	AY490944	AY494025	
Brunia nodiflora	AY490946	AY494026	
