name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Allantoma_lineata	NA	NA	NA	79555	NA	NA	NA	79554	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Allantoma_decandra	NA	NA	NA	372691	NA	NA	NA	79554	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_asiatica	NA	NA	NA	79557	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_racemosa	NA	NA	NA	107821	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_fusicarpa	NA	NA	NA	129297	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_edulis	NA	NA	NA	372690	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_apiculata	NA	NA	NA	715747	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_calyptrocalyx	NA	NA	NA	1085128	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_novaehiberniae	NA	NA	NA	1085129	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Barringtonia_acutangula	NA	NA	NA	1090620	NA	NA	NA	79556	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Bertholletia_excelsa	NA	NA	NA	3645	NA	NA	NA	3644	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Careya_arborea	NA	NA	NA	79559	NA	NA	NA	79558	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Cariniana_estrellensis	NA	NA	NA	79561	NA	NA	NA	79560	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Cariniana_legalis	NA	NA	NA	85890	NA	NA	NA	79560	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Cariniana_micrantha	NA	NA	NA	221252	NA	NA	NA	79560	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Cariniana_domestica	NA	NA	NA	372692	NA	NA	NA	79560	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Cariniana_ianeirensis	NA	NA	NA	372693	NA	NA	NA	79560	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Cariniana_pyriformis	NA	NA	NA	372694	NA	NA	NA	79560	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Chydenanthus_excelsus	NA	NA	NA	79563	NA	NA	NA	79562	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Corythophora_rimosa	NA	NA	NA	79565	NA	NA	NA	79564	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Corythophora_alta	NA	NA	NA	85827	NA	NA	NA	79564	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Corythophora_amapaensis	NA	NA	NA	372695	NA	NA	NA	79564	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Corythophora_labriculata	NA	NA	NA	372696	NA	NA	NA	79564	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_tauari	NA	NA	NA	79567	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_multiflora	NA	NA	NA	221249	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_guianensis	NA	NA	NA	221250	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_calycina	NA	NA	NA	372698	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_macrosperma	NA	NA	NA	372699	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_oblongifolia	NA	NA	NA	372700	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_stellata	NA	NA	NA	372701	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couratari_gloriosa	NA	NA	NA	1186100	NA	NA	NA	79566	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couroupita_guianensis	NA	NA	NA	66684	NA	NA	NA	66683	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Couroupita_nicaraguarensis	NA	NA	NA	372702	NA	NA	NA	66683	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_simiorum	NA	NA	NA	42628	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_odora	NA	NA	NA	66685	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_alata	NA	NA	NA	372703	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_albiflora	NA	NA	NA	372704	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_amazoniciformis	NA	NA	NA	372705	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_andina	NA	NA	NA	372706	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_atropetiolata	NA	NA	NA	372707	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_bracteosa	NA	NA	NA	372708	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_chartaceifolia	NA	NA	NA	372709	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_collina	NA	NA	NA	372710	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_congestiflora	NA	NA	NA	372711	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_coriacea	NA	NA	NA	372712	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_decolorans	NA	NA	NA	372713	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_grandiflora	NA	NA	NA	372714	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_integrifolia	NA	NA	NA	372715	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_juruensis	NA	NA	NA	372716	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_laevicarpa	NA	NA	NA	372717	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_longirachis	NA	NA	NA	372718	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_mexicana	NA	NA	NA	372719	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_micrantha	NA	NA	NA	372720	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_nana	NA	NA	NA	372721	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_neei	NA	NA	NA	372722	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_ovalifolia	NA	NA	NA	372723	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_ovata	NA	NA	NA	372724	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_parviflora	NA	NA	NA	372725	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_pedicellata	NA	NA	NA	372726	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_rimbachii	NA	NA	NA	372727	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_sagotiana	NA	NA	NA	372728	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_tenuifolia	NA	NA	NA	372729	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_tessmannii	NA	NA	NA	372730	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_wachenheimii	NA	NA	NA	372731	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_parvifolia	NA	NA	NA	597296	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_praeclara	NA	NA	NA	597297	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Eschweilera_apiculata	NA	NA	NA	1085703	NA	NA	NA	42627	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Foetidia_asymetrica	NA	NA	NA	79569	NA	NA	NA	79568	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Foetidia_mauritiana	NA	NA	NA	372732	NA	NA	NA	79568	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Foetidia_obliqua	NA	NA	NA	372733	NA	NA	NA	79568	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
