taxon	ndhF	atpB-rbcL-intergenic-spacer	trnL	matK	5.8S-ribosomal-RNA	
Weigela japonica					AF078716	
Weigela decora					AF078717	
Weigela maximowiczii					AF078719	
Weigela coraeensis					AF078718	
Weigela toensis					AF078710	
Weigela sinica					AF078715	
Weigela middendorffiana					AF078720	
Weigela praecox	AF161293				AF078712	
Weigela subsessilis		GU168612	GU168720	GU168658	AF078707	
Weigela florida	AF367421	GU168611	GU168719	GU168657	AF078711	
Weigela hortensis	AF447028	AF446998	AF446968	AF446908	AF078714	
