taxon	rpl16	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	
Mackinlaya schlechteri	GQ243888	GQ244159	
Mackinlaya confusa	GQ243886	GQ244157	
Mackinlaya macrosciadia	GQ243887	GQ244158	
