taxon	ndhF	atpB	26S-ribosomal-RNA	rbcL	trnL	ndhF.1	
Ruyschia phylladenia	AF303490			AF303128	AF303476		
Schwartzia costaricensis	AF303493			JQ594913	AF303479		
Souroubea exauriculata	AF303494			AF303125	AF303480		
Marcgraviastrum subsessile	AF303488			AF303130	AF303474		
Sarcopera sessiliflora	AF303492			AF303124	AF303478		
Sarcopera rosulata	AF303491			AF303126	AF303477		
Marcgravia nepenthoides	AF303485			AF303129	AF303471		
Pentamerista neotropica		AY725921	AY727935	AY725860		AY725872	
Norantea guianensis	AF303489		AY727938	FJ038110	AF303475		
Pelliciera rhizophorae		AF209647	AY727933	AJ428893		AF421069	
Marcgravia rectiflora	AF303487	AJ235529	AY727937	Z83148	AF303472	AJ236263	
