taxon	ndhF	rbcL	trnL	matR	5.8S-ribosomal-RNA	
Clethra ferruginea			AY190590			
Clethra faberi			AF499827			
Clethra revoluta			AY190584		AY190562	
Clethra pachyphylla			AY190577		AY190565	
Clethra ovalifolia			AY190591		AY190561	
Clethra acuminata			AY190585		AY190572	
Clethra vicentina			AY190588		AY190557	
Clethra castaneifolia			AY190582		AY190567	
Clethra delavayi			AY190581		AY190570	
Clethra canescens			AY190578		AY190564	
Clethra arfakana			AY190579		AY190568	
Clethra cubensis			AY190586		AY190560	
Clethra fimbriata			AY190592		AY190563	
Clethra peruviana			AY190583		AY190566	
Clethra mexicana			AY190589		AY190558	
Clethra scabra			AY190580		AY190559	
Clethra hartwegii			AY190587		AY190574	
Purdiaea nutans	AY082695	AY082698	AY190596		AY190576	
Purdiaea stenopetala	AY082696	AY082699	AY190597		AY190575	
Clethra alnifolia	AJ236242	L12609	AY190594	AF520204	AY190571	
Clethra barbinervis	AF421047	AF421089	AY190595	AF420997	AY190573	
Clethra arborea	AF421046	AF421088	AY190593	AF420996	AY190569	
