taxon	rps16	5.8S-ribosomal-RNA	
Heteromorpha arborescens	FM986494		
Heteromorpha papillosa	AY838425	DQ368854	
Heteromorpha pubescens	AF110580	DQ368855	
Heteromorpha involucrata	AF110577	DQ368851	
