taxon	rpl16	ndhF	atpB	18S-ribosomal-RNA	rpoC1	tRNA-Leu	trnH-psbA-intergenic-spacer	trnS	rbcL	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	rpl16.1	atpB-rbcL-intergenic-spacer	unknown	unknown.1	ycf5	rps16	unknown.2	26S-large-subunit-ribosomal-RNA	psbA	rpoC1.1	trnC	trnS.1	matK	contains-5S-ribosomal-RNA-and-nontranscribed-spacer	ribosomal-protein-L32	trnT(UGU)-trnL(UAA)-intergenic-spacer	unknown.3	GBSSI	
Osmoxylon lineare													DQ007382																
Osmoxylon sessiliflorum									FJ976155																				
Reynoldsia pleiosperma													EF032613																
Reynoldsia verrucosa													AF368467																
Reynoldsia marchionensis													EF032616																
Reynoldsia lanutoensis													EF032614																
Harmsiopanax harmsii													DQ007375																
Aralia bipinnata													AF273519																
Aralia searelliana													AF273532																
Aralia dasyphylla													DQ007355																
Aralia malabarica													GU233724																
Aralia merrillii													DQ007356																
Aralia echinocaulis													AF273525																
Aralia undulata													AF273540																
Aralia dasyphylloides													AF273521																
Aralia hispida													U66925																
Aralia chapaensis													AF273520																
Aralia thomsonii													DQ007358																
Aralia subcordata													DQ007357																
Aralia hiepiana													AY233316																
Aralia gintungensis													AF273530																
Aralia lihengiana													AY233315																
Aralia fargesii													U41673																
Aralia continentalis													AJ786232																
Aralia armata													AY233310																
Tetraplasandra kavaiensis													AF368472																
Tetraplasandra waimeae													AF368475																
Tetraplasandra gymnocarpa													AF368473																
Tetraplasandra waialealae													AF368476																
Tetraplasandra bisattenuata													EF032620																
Tetraplasandra flynnii													EF032619																
Gastonia mauritiana													EF032611																
Eleutherococcus seoulensis													AY548187																
Eleutherococcus spinosus																							AB571646						
Eleutherococcus koreanus													AY548184																
Eleutherococcus nodiflorus													U63184																
Eleutherococcus setodeus																											AY304718		
Eleutherococcus trichodon																							AB571647						
Eleutherococcus senilosis																											AY304717		
Pentapanax racemosus													AF242254																
Astrotricha ledifolia													U63190																
Arthrophyllum otopyrenum																	GQ267606												
Arthrophyllum ahernianum													DQ007359																
Arthrophyllum grandifolium																	GQ267605												
Arthrophyllum angustatum													U63182																
Arthrophyllum montanum													DQ007362																
Arthrophyllum ovalifolium													DQ007360																
Tieghemopanax lecardii																	AY746591												
Tieghemopanax nothisii																	AY746592												
Tieghemopanax pancheri																	AY746593												
Brassaiopsis elegans													DQ007363																
Brassaiopsis simplex													DQ007366																
Brassaiopsis malayana													DQ007367																
Brassaiopsis polyacantha													DQ007364																
Brassaiopsis sumatrana													DQ007365																
Schefflera subintegra													JF284839																
Schefflera membranifolia													JF284823																
Schefflera hullettii													DQ007392																
Schefflera oxyphylla													DQ007393																
Schefflera oblongifolia													DQ007390																
Schefflera nesopanax																	AY746590												
Schefflera angkae													JF284840																
Schefflera hemiepiphytica													JF284834																
Schefflera insolita																	AY746589												
Schefflera pauciflora													JF284829																
Schefflera incisa													JF284832																
Schefflera sandiana																	GU004159												
Schefflera microphylla													DQ007389																
Oreopanax argentatus													DQ007400																
Oreopanax echinops													AF242229																
Polyscias ouaimensis													AF229709																
Polyscias cumingiana													AF229695																
Polyscias tafondroensis													AF393882																
Hydrocotyle conferta													GU447310																
Hydrocotyle ranunculoides							FM207061																						
Hydrocotyle mexicana													AF077893																
Pseudopanax gunnii													U63174																
Pseudopanax edgerleyi													U63171																
Pseudopanax davidii													U63169																
Gamblea malayana													DQ007374																
