taxon	trnK	matR	matK	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	rps16	trnT-trnL-intergenic-spacer	trnT-trnL-intergenic-spacer.1	trnC-ycf6-intergenic-spacer	18S-ribosomal-RNA	unknown	rbcL	ndhF	PepC	psbA-trnH-intergenic-spacer	3-UFGT	chalcone-synthase	dihydroflavonol-4-reductase	flavanone-3-hydroxylase	
Perianthomega vellozoi				FJ870051								DQ222619							
Incarvillea beresowskii				AY695877						AY695854									
Incarvillea semiretschenskia				AY695875						AY695852									
Incarvillea compacta				AY695878						AY695855									
Incarvillea olgae				AY695869						AY695846									
Incarvillea dissectifoliola				AY695881						AY695858									
Roentgenia bracteomana												DQ222634	DQ222806						
Leucocalantha aromatica												DQ222589	DQ222740						
Distictis frutescens												DQ222581	DQ222724						
Distictis granulosa												DQ222582	DQ222727						
Newbouldia laevis				EF105074								EF105015							
Tabebuia acrophylla				EF105086								EF105026							
Tabebuia microphylla				EF105099								EF105037							
Tabebuia bahamensis				EF105088								EF105028							
Tabebuia aurea				EF105087								EF105027							
Tabebuia sauvallei				EF105103								EF105041							
Tabebuia berteroi				EF105112								EF105029							
Tabebuia striata				EF105111								EF105049							
Tabebuia haemantha				EF105095								EF105034							
Tabebuia schumanniana				EF105104								EF105042							
Tabebuia subtilis				EF105110								EF105048							
Tabebuia chrysantha				EF105090								EF105030							
Tabebuia lepidota				EF105098								EF105036							
Tabebuia obscura				EF105109								EF105047							
Pleonotoma stichadenia												DQ222627	DQ222796						
Pleonotoma albiflora												DQ222624	DQ222792						
Lamiodendron magnificum				EF105073								EF105014							
Memora bracteosa												DQ222609	DQ222768						
Memora magnifica												DQ222612	DQ222771						
Memora adenophora												DQ222608	DQ222766						
Memora campicola												DQ222610	DQ222770						
Parabignonia steyermarkii												DQ222617	DQ222780						
Catophractes alexandri				EF105057								EF105000							
Catalpa bungei										AY486298		DQ411410							
Catalpa ovata										AY486303		DQ515216							
Catalpa macrocarpa										AY486295		DQ411415							
Catalpa longissima										AY486294		DQ411414							
Fridericia mollissima				FJ870033								FJ887862							
Fridericia speciosa												DQ222584	DQ222731						
Fridericia corallina				FJ870032								FJ887861							
Lundia spruceana												DQ222593	JQ344035						
Lundia densiflora												DQ222592	JQ344015						
Lundia longa												JQ343996	JQ344022						
Lundia nitidula												JQ344000	JQ344030						
Lundia corymbifera												JQ343988	DQ222742						
Lundia obliqua												JQ344001	JQ344033						
Lundia erionema												JQ343992	JQ344017						
Lundia helicocalyx												JQ343994	JQ344019						
Lundia damazioi												JQ343989	JQ344013						
Lundia virginalis												JQ344005	DQ222747						
Crescentia linearifolia				EF105059								EF105002							
Crescentia cujete			JQ587002								JQ590803								
Dolichandra cynanchoides												DQ222583	DQ222728						
Spirotecoma holguinensis				EF105084								EF105024							
Phryganocydia corymbosa												DQ222621	DQ222785						
Heterophragma adenophyllum				EF105069								EF105011							
Amphilophium elongatum				FJ870013								DQ222578	DQ222720						
Amphilophium paniculatum			JQ586978									DQ222533	DQ222657						
Amphilophium bauhinioides				FJ870012								FJ887849	DQ222734						
Rhodocolea racemosa				EF105081			AY500422					EF105021							
Rhodocolea nobilis						AY500403	AY500423					AY500444							
Paragonia pyramidata			JQ589893									DQ222618	DQ222781						
Arrabidaea selloi					JN686518							DQ222560	DQ222697						
Cuspidaria convoluta				FJ870026								DQ222573	DQ222711						
Manaosella cordifolia				FJ870043								DQ222596	DQ222750						
Pandorea jasminoides				AY695866							AF102652	AF102636							
Argylia bustillosii				FJ870016							FJ870007	FJ887852							
Mansoa verrucifera				FJ870044								DQ222604	DQ222759						
Fernandoa madagascariensis				EF105067			AY500426					EF105009							
Pithecoctenium crucigerum										EU812818		DQ222623	DQ222790						
