taxon	intergenic-spacer,-IGS	nepGS	18S-ribosomal-RNA	5.8S-ribosomal-RNA	rpl14-rps8-infA-rpl36-intergenic-region	rpl32-trnL-intergenic-region	contains-psbA-gene-and-psbA-trnH-intergenic-spacer	trnL(UAA)-trnF(GAA)-intergenic-spacer	rbcL	atpB	rbcL.1	matK	tRNA-Leu	
Ilex chamaebuxus									AF471612					
Ilex integrifolia							EU359385							
Ilex macrophylla									AF471675					
Ilex mucronulata				AF200587										
Ilex subcordata							EU359328							
Ilex taubertiana				AY183487										
Ilex beanii							EU359330							
Ilex retusa									AF471697					
Ilex dipyrena									AF471631					
Ilex formosana							EU359324							
Ilex buxifolia									AF471604					
Ilex rupicola									AF471696					
Ilex trichothyrsa							EU359327							
Ilex lundii									AF471648					
Ilex poneantha							EU359335							
Ilex rivularis							EU359342							
Ilex hainanensis											JF942004	JF954099		
Ilex myrtifolia							EU359325		AF471723					
Ilex memecylifolia											HQ415065	HQ415252		
Ilex conocarpa							EU359329		AF471616					
Ilex intricata							EU359382		AF471650					
Ilex elmerrilliana							HQ426978				HQ427132			
Ilex affinis							EU359340		AF471591					
Ilex beecheyi				U92603				U92632						
Ilex percoriacea				U92607				U92634						
Ilex chapaensis											HQ415069	HQ415254		
Ilex nipponica							EU359367		AF471686					
Ilex cochinchinensis											HQ415071	HQ415256		
Ilex polyneura				JF976693							JF942025	JF954115		
Ilex viridis			AY925153	AY925158					AF471714					
Ilex pubilimba				GQ434386			GQ434983				GQ436366			
Ilex suaveolens							HQ426984				HQ427139	HQ427293		
Ilex chinensis				JF976680							JF941992	JF954086		
Ilex excelsa				JF976690							JF942001	JF954097		
Ilex chamaedryfolia		FJ394813		FJ394665							FJ394594		FJ394736	
Ilex mucronata	AJ492892	FJ394867	FJ418161						AF471672					
Nemopanthus mucronatus				AJ275336				U92640		AJ235541	X69747		AJ275345	
Ilex wallichii		FJ394905		FJ394720					AF471716		FJ394646		FJ394788	
Ilex havilandii		FJ394841		FJ394686					AF471643		FJ394615		FJ394757	
Ilex sebertii		FJ394889		FJ394712					FJ418156		FJ394639		FJ394781	
