taxon	trnL	5.8S-ribosomal-RNA	rpoC1	trnK	rbcL	psbA	trnA	trnS-trnC-intergenic-spacer	rpoB-trnC-intergenic-spacer	ndhF	ndhI	contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)-gene	
Barnadesia glomerata		AF412880											
Dasyphyllum velutinum		AF412859											
Dasyphyllum colombianum		AF412848											
Dasyphyllum vagans		AF412858											
Dasyphyllum synacanthum		AF412856											
Dasyphyllum candolleanum		AF412851											
Dasyphyllum sprengelianum		AF412861											
Dasyphyllum donianum		AF412849											
Dasyphyllum armatum		AF412847											
Dasyphyllum inerme		AF412843											
Arnaldoa argentea				EU841317									
Chuquiraga parviflora		AF412863											
Chuquiraga ulicina		AF412872											
Barnadesia arborea		AF412883		GQ983656									
Barnadesia parviflora	AF412925	AF412876											
Barnadesia lehmannii	AF412918	AF412877											
Barnadesia polyacantha	AF412924	AF412886											
Barnadesia pycnophylla	AF412913	AF412885											
Dasyphyllum weberbaueri				EU841340								EU547645	
Dasyphyllum latifolium	AF412914	AF412853											
Dasyphyllum ferox	AF412917	AF412850											
Fulcaldea stuessyi	JF920294					JF920289							
Chuquiraga oblongifolia				EU841330		EU841284							
Duseniella patagonica	JF920295	EF530227				JF920290						EU547652	
Dasyphyllum excelsum	EU841073			EU841336		EU841287						EU547641	
Dasyphyllum leptacanthum	AF412912	AF412844			EU841121							EU547649	
Fulcaldea laurifolia	AF412906	AF412839		EU841348		EU841298							
Doniophyton weddellii	EU841081	EU841163		EU841345		EU841295						EU547650	
Barnadesia dombeyana	EU841057	AF412887		EU841319		EU841270						EU547619	
Barnadesia jelskii	EU841060		EU841229	EU841322	EU841101	EU841273						EU547622	
Dasyphyllum popayanense	EU841075	AF412854	EU841246	EU841338		EU841289						EU547643	
Dasyphyllum argenteum		AF412855			AY874428			AY865177	AY865271	L39392			
Dasyphyllum tomentosum	AF412909	AF412846	EU841249		EU841119	EU841292						EU547647	
Barnadesia caryophylla	AY504768	AY504686			L01887			AY865178	AY865268	L39394			
Arnaldoa weberbaueri	AF412903	AF412838	EU841225	EU841316		EU841268						EU547617	
Chuquiraga weberbaueri	EU841067		EU841237	EU841329		EU841283						EU547635	
Barnadesia odorata	EU841061	AF412879	EU841230	EU841323	EU841102	EU841274						EU547623	
Barnadesia spinosa	EU385042	AF412884		EU385327			EU243159				EU243254		
Dasyphyllum diacanthoides	EU841074	AF422120	EU841245	EU841337	EU841115	EU841288						EU547642	
Chuquiraga oppositifolia	EU841069	AF412867	EU841239	EU841332	EU841109	EU841280						EU547637	
Huarpea andina	EU841084	AF412875	EU841255	EU841349	EU841124	EU841299						EU547653	
Dasyphyllum spinescens	EU841079	AF412860	EU841250	EU841343	EU841120	EU841293						EU547648	
Dasyphyllum brasiliense	EU841077	AF412845	EU841248	EU841341	EU841118	EU841291						EU547646	
Dasyphyllum brevispinum	EU841076	EU841158	EU841247	EU841339	EU841117	EU841290						EU547644	
Dasyphyllum reticulatum	EU385057	AF412862		EU385342			EU243174			EU385150	EU243269		
Chuquiraga aurea	U82022	AF412866	EU841233	EU841326	EU841105	EU841277						EU547632	
Chuquiraga avellanedae	EU841070	AF412865	EU841241	EU841333	EU841111	EU841281						EU547638	
Chuquiraga morenonis	EU841072	EU841154	EU841244	EU841335	EU841114	EU841282						EU547640	
Chuquiraga erinacea	AF412915	AF412870	EU841235	EU841327	EU841107	EU841278						EU547633	
Chuquiraga ruscifolia	EU841066	AF412869	EU841236	EU841328	EU841108	EU841279						EU547634	
Chuquiraga spinosa	EU385053	AF412864		EU385338	EU384960		EU243170			EU385146	EU243265		
Chuquiraga jussieui	EU841071	AF412868	EU841242	EU841334	EU841112	EU841286		AY865174	AY865269	L39393		EU547639	
Schlechtendalia luzulifolia	AF412907	AF412836	EU841256	EU841350	AY874431	EU841300			AY865270	L39395		EU547664	
Doniophyton anomalum	EU841082	AF412873	EU841253	EU385348	EU841123	EU841296	EU243180	AY865172	AY865272	L39396	EU243274	EU547651	
