taxon	matK	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	rbcL	rbcL-atpB-intergenic-spacer	5.8S-ribosomal-RNA	ndhF	trnK	
Zabelia corymbosa	HQ693925	HQ693970	HQ680727			HQ693948		
Zabelia umbellata	GU168665	GU168727			GU168638		GU168690	
Zabelia mosanensis	GU168661	GU168723		GU168615	GU168634		GU168685	
Zabelia biflora	GU168639	HQ693974		GU168613	GU168632	HQ693952	GU168684	
Zabelia triflora	HQ693923	HQ693968	AF206727	GU168617	GU168637	HQ693946	GU168689	
Zabelia tyaihyoni	HQ693922	GQ984046	GQ983786	GU168616	GU168635	HQ693945	GU168687	
