taxon	rbcL	ndhF	matK	trnV	atpB	
Wittsteinia vacciniacea	X87399	AJ238345			AJ318986	
Crispiloba disperma	X87382	AJ238338	GQ983650	GQ984111	AJ318968	
Alseuosmia macrophylla	X87377	AJ238334	AJ429378	AJ429725	AJ236198	
