name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Foetidia_asymetrica	NA	NA	NA	79569	NA	NA	NA	79568	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Foetidia_mauritiana	NA	NA	NA	372732	NA	NA	NA	79568	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Foetidia_obliqua	NA	NA	NA	372733	NA	NA	NA	79568	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
