taxon	26S-ribosomal-RNA	atpB---rbcL-intergenic-spacer	psbA---trnH-intergenic-spacer	18S-ribosomal-RNA	
Aucuba japonica		AB087782	AB087790		
Aucuba chinensis	AF421425	AB087783	AB087794	AF421415	
Aucuba himalaica	AF421423	AB087784	AB087796	AF421403	
Aucuba eriobotryifolia	AF421430	AB087786	AB087798	AF421410	
