taxon	trnK	5.8S-ribosomal-RNA	
Nebelia laevis	AY490939		
Nebelia sphaerocephala	AY490940	AY494021	
Nebelia stokoei	AY490943	AY494022	
Nebelia paleacea	AY490941	AY494023	
Nebelia fragarioides	AY490942	AY494024	
