taxon	galactose-dehydrogenase	matK	tRNA-Leu	psbA-trnH-intergenic-spacer-region	rbcL	nad1	nad4	5.8S-ribosomal-RNA	matR	5S-ribosomal-RNA	atp1	nad4.1	trnL-trnF-intergenic-spacer	CaM	5'-upstream-region-to-trnS-gene	CaM.1	
Saurauia montana		JQ586430															
Actinidia arisanensis										AY325350							
Actinidia callosa										AY325415							
Saurauia zahlbruckneri			AF396203					AF396452									
Saurauia tristyla		EU310435												EF441530			
Saurauia napaulensis			AJ549029		AJ549074												
Actinidia lijiangensis			AJ549000		AJ549045												
Actinidia grandiflora			AJ548999		AJ549044												
Actinidia hubeiensis			AJ549011		AJ549056												
Actinidia rubricaulis			AF534656						AY163745								
Actinidia guilinensis			AJ549002		AJ549047												
Actinidia farinosa			AJ549019		AJ549064												
Actinidia glaucophylla		AF322604						AF323798									
Actinidia lanceolata			AJ549027		AJ549072					AY325410							
Actinidia styracifolia		AF322612	AJ548988		AJ549033			AF323823									
Actinidia henanensis		AF322597	AJ549015		AJ549060			AF323840									
Actinidia zhejiangensis		AF322613	AJ548993		AJ549038			AF323817									
Actinidia persicina		AF322611	AJ549023		AJ549068			AF323816									
Actinidia setosa			AJ549028		AJ549073	AJ536468									AB006101		
Clematoclethra lasioclada		AF322618	AJ549032		Z80172			AF323805									
Actinidia valvata		AF322602						AF323842		AY325391				EF441482		EF441505	
Actinidia indochinensis		AF322606	AJ549009		AJ549054			AF323811		AY325338							
Actinidia latifolia	EU525846	AF322610					AJ536479	AF323825		AY325378							
Actinidia fulvicoma			KC408217	KC408149							KC408089	KC408113	KC408195				
Actinidia sabiifolia		AF322607	AJ548994		AJ549039			AF323813						EF441485		EF441502	
Actinidia hemsleyana		AF322608		AY225116				AF323802		AY325356			AY156911				
Actinidia melliana		AF322609	AJ549022		AJ549067			AF323821						EF441488		EF441506	
Actinidia chrysantha		AF322603	AJ548990		AJ549035			AF323797		AY325333					AB006096		
Actinidia macrosperma		AF322599	KC408221	KC408169						AY325418	KC408091	KC408115	KC408172				
Actinidia melanandra		AF322600	AJ549005	AF543456				AF323808		AY339793	KC408092	KC408116	KC408174				
Actinidia rufa		AF323967	AJ549014	KC408168	AJ549059			JF980333		AY325349	KC408090	KC408114	KC408196				
Actinidia kolomikta		AF322598	AJ549025	AY225113	AJ549070	AJ536469		AF323837		AY325397			AY156912	EF441489		EF441511	
Actinidia eriantha	FJ772089	AF323968	AJ549012	KC408148	AJ549057			AF323800		AY325373	KC408088	KC408112	KC408193				
Actinidia polygama		AF322601	AJ549026	AY225114	AJ549071		AJ536478	AF323796		AY325380			AB237301	EF441481	AB006099	EF441504	
Actinidia arguta		AF322596	AJ549004	KC408164				AF323836	AF420991	AY325402	KC408086	KC408110	KC408188	EF441479	AB006090		
Actinidia deliciosa	AY176585	AF322619	KC408202	KC408156		AJ536470		AF323830	JQ218283	AY325367	KC408080	KC408104	KC408179				
Actinidia chinensis		U61324	AJ549031	KC408155	AJ547795	AJ536472	AJ536482			AF394578	KC408075	KC408099	KC408180	EF441467	AB006093	EF441501	
