taxon	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	rpl16	
Melanophylla alnifolia	GQ243851	GQ244147	
Melanophylla modestei	GQ243850	GQ244146	
Melanophylla aucubifolia	GQ243849	GQ244145	
