taxon	ndhF	ribulose-1,5-bisphosphate-carboxylase/oxygenase-large-subunit	trnV	psbB	rps4	
Medusanthera laxiflora		FJ976149				
Lasianthera africana	AJ312948					
Gomphandra mappioides		AB586347				
Discophora guianensis	AJ312964	JQ625904				
Grisollea myrianthea	AJ312955		GQ984115	GQ983699	GQ983935	
Irvingbaileya australis	AJ236255	AF156733	GQ984084	GQ983782	GQ983880	
Gomphandra javanica	GQ983663	AJ402954	GQ984095	GQ983741	GQ983924	
