taxon	trnL	ndhF	rbcL	5.8S-ribosomal-RNA	atpB-rbcL-intergenic-spacer	
Marcgravia polyantha				AY348854		
Marcgravia maguirei					DQ147896	
Marcgravia umbellata				AY452669	DQ147897	
Marcgravia brownei	AF303470	AF303484				
Marcgravia nervosa	AF303473	AF303486				
Souroubea sympetala	AF303482	AF303496				
Souroubea loczyi	AF303481	AF303495				
Schwartzia costaricensis	AF303479	AF303493	JQ594913			
Marcgravia rectiflora	AF303472	AF303487	Z83148			
Marcgravia nepenthoides	AF303471	AF303485	AF303129			
Souroubea exauriculata	AF303480	AF303494	AF303125			
Sarcopera sessiliflora	AF303478	AF303492	AF303124			
Sarcopera rosulata	AF303477	AF303491	AF303126			
Ruyschia phylladenia	AF303476	AF303490	AF303128			
Marcgraviastrum subsessile	AF303474	AF303488	AF303130			
Norantea guianensis	AF303475	AF303489	FJ038110	FJ037835	DQ147898	
