taxon	rbcL	trnT-trnL-intergenic-spacer,-IGS	5.8S-rRNA	rbcL.1	trnV	rps16	ndhF	matK	matK.1	
Bowkeria cymosa						AJ609207				
Stilbe rupestris		AJ621121								
Stilbe overbergensis		AJ621124								
Halleria tetragona								AY667476		
Kogelbergia verticillata	AM235155	AJ621113								
Stilbe vestita		AJ621122		Z68827						
Halleria ovata		AJ621110	AJ616322							
Halleria elliptica		AJ621108	AJ616321							
Stilbe albiflora		AJ621126				AJ609136	AF027287			
Bowkeria verticillata		AJ621106	AJ616315			AJ609206	AJ617589			
Stilbe ericoides		AJ621120			AJ429532	AJ431062		AJ429350		
Charadrophila capensis		AJ608622	AJ616317			AJ609196	AJ617590			
Nuxia oppositifolia	JF265527	AJ621117	AJ616328						JF270873	
Nuxia congesta	JF265525	AJ621115	AJ616326						JF270871	
Ixianthes retzioides		AJ608636	AJ616323	AM235154		AJ609222	AJ617598			
Anastrabe integerrima		AJ608633	AJ616314			AJ609216	AJ619552	FN773529		
Retzia capensis		AJ608628	AJ616329	Z29669		AJ609144	AF027289			
Nuxia floribunda	JF265526	AJ621116	AJ616327	AM235156					JF270872	
Euthystachys abbreviata		AJ608626		Z29671	HQ412875	AJ609185	AF147715	HQ384526		
Campylostachys cernua		AJ608621	AJ616316	HQ384891	HQ412876	AJ609199	HQ384833	HQ384527		
Halleria lucida	JF265466	AJ608590	AF375149	AF026828	HQ412877	AJ609181	AJ550569	HQ384528	JF270813	
