taxon	atpB---rbcL-intergenic-spacer	psbA---trnH-intergenic-spacer	5.8S-ribosomal-RNA	matR	18S-ribosomal-RNA	ndhF	trnL	matK	rps16	
Aucuba eriobotryifolia	AB087786	AB087798	AF421430		AF421410					
Aucuba chinensis	AB087783	AB087794	AF421425		AF421415					
Aucuba himalaica	AB087784	AB087796	AF421423	AY453099	AF421403					
Eucommia ulmoides				AF520125		AJ429113	AJ430905	JF953701	AJ431028	
Garrya elliptica			JN234736	AY453095		AF147714	JN234723	AJ429319	AJ431030	
Aucuba japonica	AB087782	AB087790	JN234733	AY725884		AY725869	AJ430906	FN668800	AJ431029	
