taxon	ndhF	matK	trnV	contains-tRNA-Leu-(trnL)-gene-and-trnL-trnF-intergenic-spacer-region	rps4	
Citronella gongonha	AJ312946					
Citronella moorei	AJ312971					
Leptaulus daphnoides	AJ312954					
Leptaulus citroides	AJ312961					
Cardiopteris platycarpa				AF534660		
Cardiopteris quinqueloba	AJ312963	AJ429310	AJ429665	AJ430898		
Gonocaryum litorale	AJ400889	GQ983654	GQ984078	GQ984057	GQ983949	
