taxon	ndhF	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	
Corythophora rimosa		AY172761	
Corythophora amapaensis	DQ388189	DQ417942	
Corythophora alta	DQ388188	AY172760	
Corythophora labriculata	DQ388190	DQ417943	
