taxon	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	matK	rbcL	ndhF	
Dipelta ventricosa				AF161295	
Dipelta floribunda	HQ693984	HQ693939	AJ420876	HQ693962	
Dipelta yunnanensis	AF446970	AF446910	HQ680742	AF447030	
