taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF	5.8S-ribosomal-RNA	contains-trnT-trnL-intergenic-spacer,-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)
MISSING	Aralidium pinnatifidum	3	AF299087	NA	AJ431083	AJ429126	NA	NA
MISSING	Torricellia tiliifolia	3	AF299089	NA	AJ431087	AJ429127	NA	NA
MISSING	Quintinia verdonii	3	NA	AJ429366	AJ431077	AJ238344	NA	NA
MISSING	Griselinia lucida	3	L11225	U58628	NA	AF130205	NA	NA
MISSING	Pennantia cunninghamii	3	AJ494843	AJ494845	NA	AJ312970	NA	NA
MISSING	Sphenostemon lobosporus	3	NA	GQ983660	GQ983981	GQ983668	NA	NA
MISSING	Pennantia corymbosa	3	AY188432	AY188404	NA	AJ312949	NA	NA
MISSING	Paracryphia alticola	3	NA	AJ429367	AJ431078	AJ429121	NA	NA
MISSING	Leycesteria formosa	3	NA	HM850976	GQ984000	AF447022	NA	NA
MISSING	Linnaea borealis	3	NA	JN966357	AJ431107	AF060166	NA	NA
MISSING	Heptacodium miconioides	3	NA	GQ284983	GQ984004	AF283509	NA	NA
MISSING	Kolkwitzia amabilis	3	NA	AF446912	GQ983989	HQ693960	NA	NA
MISSING	Diervilla rivularis	2	NA	AJ429392	AJ431105	NA	NA	NA
MISSING	Griselinia littoralis	2	AF307916	AJ429372	NA	NA	NA	NA
MISSING	Diervilla sessilifolia	2	NA	AF446907	NA	AF060164	NA	NA
MISSING	Oubanguia alata	1	NA	NA	NA	DQ388165	NA	NA
MISSING	Napoleona vogelii	1	NA	NA	NA	DQ388164	NA	NA
MISSING	Melanophylla alnifolia	1	NA	NA	NA	AJ236244	NA	NA
MISSING	Griselinia racemosa	1	AF307915	NA	NA	NA	NA	NA
MISSING	Leycesteria crocothyrsos	1	NA	FJ745393	NA	NA	NA	NA
