taxon	ndhF	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	
Cariniana micrantha		AY172768	
Cariniana domestica	DQ388186	DQ417936	
Cariniana estrellensis	DQ388187	DQ417937	
Cariniana pyriformis	DQ388273	DQ417939	
Cariniana ianeirensis	DQ388184	DQ417938	
