taxon	rbcL	contains-tRNA-Glu-(trnE),-tRNA-Tyr-(trnY),-and-trnY-trnT-intergenic-spacer	psbB	18S-RNA-gene	rpl16	atpB	5.8S-ribosomal-RNA	26S-large-subunit-ribosomal-RNA	contains-trnH,-trnH-psbA-intergenic-spacer-and-psbA	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	matK	
Bursaria tenuifolia										AY829059		
Pittosporum yunckeri							AF302028					
Pittosporum dallii							U63196					
Pittosporum bracteolatum							EF635474					
Pittosporum cornifolium							AF302030					
Pittosporum turneri							AF302032					
Pittosporum gatopense							AF302034					
Pittosporum ralphii							EF635473					
Pittosporum revolutum							AY829038					
Pittosporum terminalioides							AF302024					
Pittosporum confertiflorum							AF302017					
Pittosporum glabrum							AF302020					
Pittosporum flocculosum							AF302018					
Pittosporum taitense							AF302027					
Pittosporum hosmeri							AF302022					
Pittosporum resiniferum							DQ007353					
Pittosporum gayanum							AF302019					
Pittosporum argentifolium							AF302016					
Pittosporum tenuifolium				GU476463								
Pittosporum kauaiense							AF302023					
Pittosporum balfourii							AF302015					
Pittosporum coccineum							AF302033					
Pittosporum lanipetalum							AF302036					
Pittosporum rigidum							AF302031					
Pittosporum halophilum							AF302021					
Pittosporum oreophilum							AF302037					
Pittosporum arborescens							AF302026					
Pittosporum rhytidocarpum							AF302029					
Pittosporum bicolor										AY829065		
Billardiera variifolia										AY829056		
Pittosporum multiflorum							AY829036			AY829072		
Pittosporum ferrugineum							AY829032			AY829068		
Pittosporum angustifolium							AY829029			AY829064		
Pittosporum ramiflorum				GU476462			DQ499124					
Pittosporum viridiflorum	JF265552										JF270894	
Pittosporum lancifolium							AY829033			AY829069		
Pittosporum oreillyanum							AY829037			AY829073		
Pittosporum japonicum	L11202			L28142								
Pittosporum eugenioides							AY829031			AY829067		
Pittosporum venulosum							AY829043			AY829078		
Pittosporum suberosum							AY829041			AY829076		
Pittosporum illicioides	HQ427157										HQ427307	
Pittosporum verrucosum			AF528908			AF528857						
Pittosporum ligustrifolium							AY829034			AY829070		
Pittosporum trilobum							AY829042			AY829077		
Pittosporum moluccanum							AY829035			AY829071		
Pittosporum crassifolium							EF635471			AY829066		
Pittosporum wingii							AY829044			AY829079		
Pittosporum brackenridgei		GQ243863			GQ244137							
Marianthus bicolor							AY829028			AY829062		
Billardiera longiflora							AY829021			AY829055		
Billardiera fusiformis							AY829018			AY829052		
Billardiera fraseri							AY829022			AY829051		
Billardiera lehmanniana							AY829020			AY829054		
Auranticarpa papyracea							AY829015			AY829048		
Auranticarpa ilicifolia							AY829014			AY829046		
Pittosporum pentandrum	GU135222								GU135390		GU135058	
Pittosporum glabratum	HQ415079								HQ415430		HQ415263	
Pittosporum koghiense		GQ243864			GQ244138		AF302035					
Pittosporum fairchildii						AJ235561	EF635472	AF479192				
Bursaria spinosa		GQ243859			GQ244133		AY829024			AY829058		
Bursaria incana		GQ243858			GQ244132		AY829023			AY829057		
Pittosporum rubiginosum		GQ243865			GQ244139		AY829039			AY829074		
Pittosporum spinescens		GQ243867			GQ244141		AY829040			AY829075		
Cheiranthera linearis		GQ243860			GQ244134		AY829025			AY829060		
Bentleya spinescens		GQ243855			GQ244129		AY829016			AY829049		
Billardiera cymosa		GQ243856			GQ244130		AY829017			AY829050		
Auranticarpa edentata		GQ243854			GQ244128		AY829013			AY829047		
Pittosporum tobira	HQ619768	AY865320			GQ244142			AY189151		FJ490806	HQ619824	
Rhytidosporum alpinum	AY188436	GQ243870			GQ244144		AY829045	AY189106		AY829080	AY188408	
Marianthus ringens	AY188427	GQ243862			GQ244136		AY829027	AY189084		AY829063	AY188401	
Hymenosporum flavum	U50260	GQ243861		L16009	GQ244135		AY829026	AY189079		AY829061	U58623	
Pittosporum undulatum	HM850262	GQ243869	GQ983729	L15197	GQ244143		AF302014			AJ430960	DQ133794	
Billardiera heterophylla	U50262	GQ243857	GQ983694	AJ236001	GQ244131	AJ236214	AY829019	AY189109		GQ984042	U58625	
