taxon	rps16	contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)-gene	5.8S-ribosomal-RNA	unknown	psbA	trnL	trnA	trnS-trnC-intergenic-spacer	rpoB-trnC-intergenic-spacer	ndhF	ndhI	rbcL	trnK	
Fulcaldea laurifolia			AF412839		EU841298	AF412906							EU841348	
Duseniella patagonica		EU547652	EF530227		JF920290	JF920295								
Dasyphyllum leptacanthum		EU547649	AF412844			AF412912						EU841121		
Doniophyton weddellii	EU547609	EU547650	EU841163		EU841295								EU841346	
Dasyphyllum excelsum		EU547641		AF412841	EU841287	EU841073							EU841336	
Barnadesia dombeyana	EU547587	EU547619	AF412887		EU841270	EU841057							EU841319	
Barnadesia jelskii		EU547622			EU841273	EU841060						EU841101	EU841322	
Dasyphyllum popayanense		EU547643	AF412854		EU841289	EU841075							EU841338	
Dasyphyllum argenteum			AF412855					AY865177	AY865271	L39392		AY874428		
Dasyphyllum tomentosum		EU547647	AF412846		EU841292	AF412909						EU841119		
Chuquiraga weberbaueri	EU547601	EU547635			EU841283	EU841067							EU841329	
Arnaldoa weberbaueri	EU547586	EU547617	AF412838		EU841268	AF412903							EU841316	
Barnadesia caryophylla			AY504686			AY504768		AY865178	AY865268	L39394		L01887		
Chuquiraga oppositifolia	EU547602	EU547637	AF412867		EU841280	EU841069						EU841109	EU841332	
Barnadesia spinosa			AF412884			EU385042	EU243159				EU243254		EU385327	
Barnadesia odorata	EU547590	EU547623	AF412879		EU841274	EU841061						EU841102	EU841323	
Dasyphyllum diacanthoides	EU547605	EU547642	AF422120		EU841288	EU841074						EU841115	EU841337	
Chuquiraga avellanedae	EU547603	EU547638	AF412865		EU841281	EU841070						EU841111	EU841333	
Chuquiraga erinacea	EU547599	EU547633	AF412870		EU841278	AF412915						EU841107	EU841327	
Chuquiraga aurea	EU547598	EU547632	AF412866		EU841277	U82022						EU841105	EU841326	
Chuquiraga morenonis	EU547604	EU547640	EU841154		EU841282	EU841072						EU841114	EU841335	
Chuquiraga ruscifolia	EU547600	EU547634	AF412869		EU841279	EU841066						EU841108	EU841328	
Huarpea andina	EU547611	EU547653	AF412875		EU841299	EU841084						EU841124	EU841349	
Dasyphyllum spinescens	EU547608	EU547648	AF412860		EU841293	EU841079						EU841120	EU841343	
Dasyphyllum brevispinum	EU547606	EU547644	EU841158		EU841290	EU841076						EU841117	EU841339	
Dasyphyllum brasiliense	EU547607	EU547646	AF412845		EU841291	EU841077						EU841118	EU841341	
Dasyphyllum reticulatum			AF412862			EU385057	EU243174			EU385150	EU243269		EU385342	
Chuquiraga spinosa			AF412864			EU385053	EU243170			EU385146	EU243265	EU384960	EU385338	
Chuquiraga jussieui		EU547639	AF412868		EU841286	EU841071		AY865174	AY865269	L39393		EU841112	EU841334	
Schlechtendalia luzulifolia	EU547616	EU547664	AF412836	AF412835	EU841300	AF412907			AY865270	L39395		AY874431	EU841350	
Doniophyton anomalum	EU547610	EU547651	AF412873		EU841296	EU385063	EU243180	AY865172	AY865272	L39396	EU243274	EU841123	EU385348	
