taxon	trnK	5.8S-ribosomal-RNA	
Berzelia ecklonii	AY490947		
Berzelia galpinii	AY490951		
Berzelia burchellii	AY490948		
Berzelia lanuginosa	AY490955		
Berzelia incurva	AY490949		
Berzelia intermedia	AY490950		
Berzelia abrotanoides	AY490954	AY494009	
Berzelia cordifolia	AY490958	AY494012	
Berzelia arachnoidea	AY490956	AY494010	
Berzelia rubra	AY490957	AY494011	
