taxon	unknown	matK	rbcL	ndhF	
Gelsemium rankinii	EF077193	EF077195	EF077211	EF077207	
Gelsemium elegans	EF077187	EF077196	EF077212	EF077205	
Gelsemium sempervirens	EF077186	Z70195	L14397	AJ011984	
