taxon	unknown	rpoB	rpoC1	atpE	rps16	18S-ribosomal-RNA	matK	5.8S-ribosomal-RNA	5.8S-ribosomal-RNA.1	trnL	petD	rpb2-d	rbcL	unknown.1	trnL.1	unknown.2	atpB	ndhF	atpB.1	
Mitrasacme phascoides											JX046114			JX029161						
Mitrasacme latiflora											JX046112			JX029160						
Geniostoma glaucescens											JX046129					JX029184				
Geniostoma antherotrichum											JX046134					JX029189				
Neuburgia celebica									JF937934		JX046144									
Logania serpyllifolia											JX046139					JX029170				
Logania ovata											JX046143					JX029173				
Logania spermacocea											JX046137					JX029169				
Logania fasciculata											JX046140					JX029174				
Logania buxifolia											JX046142					JX029175				
Logania pusilla											JX046138					JX029171				
Labordia cyrtandrae											JX046124					JX029181				
Strychnos millepunctata									JF938002										DQ131691	
Strychnos psilosperma	JX029179										JX046146									
Strychnos panamensis								JF938017	JF938018											
Strychnos aculeata								JF937939	JF937940											
Strychnos darienensis								JF937969	JF937970											
Strychnos mostueoides								JF938009	JF938008											
Strychnos toxifera								JF938056	JF938057											
Strychnos angolensis								JF937943	JF937942											
Strychnos barteri								JF937952	JF938040											
Strychnos schultesiana								JF938037	JF938036											
Strychnos arborea								JF937950	JF937946											
Strychnos mitscherlichii								JF938007	JF938006											
Strychnos angustiflora								JF937945	JF937944											
Strychnos tricalysioides								JF938059	JF938058											
Strychnos staudtii								JF938051	JF938052											
Gardneria multiflora								JF937928	JF937929											
Gardneria ovata									JF937930						AF102427					
Spigelia hedyotidea								AF178004	AF178008											
Mitrasacme polymorpha									JF937933		JX046110			JX029158						
Mitrasacme pygmaea									HM622085						HQ148877				DQ131694	
Geniostoma huttonii									JF950770	JF950890					JF950916					
Geniostoma angustifolium									JF950767	JF950887					JF950913					
Geniostoma petiolosum									JF950768	JF950888					JF950914					
Geniostoma borbonicum									JF950769	JF950889					JF950915					
Labordia kaalae									JF937931		JX046125					JX029183				
Strychnos usambarensis							JF270956		JF938064				JF265614							
Strychnos guianensis							JQ588158		JF937982				JQ592408							
Strychnos axillaris							AB636276	JF938043	JF937951											
Strychnos ignatii							AB636277	JF938045	JF937986											
Strychnos pungens							JF270954		JF938029				JF265612							
Mitrasacme pilosa												AJ133228	AJ235821		AF102459			AJ236058		
Usteria guineensis												AJ133233	AJ235823		AF102496			AJ235842		
Bonyunia minor									JF937927				AJ235818		AF102385			AJ235833		
Strychnos henningsii							JQ025002	JF937983	JF937984				JQ025096							
Androya decaryi				AJ429530	AJ431040								AJ001756		AJ608619			AF027276		
Strychnos erichsonii		FJ038322	FJ038549				FJ514680		JF937977				FJ038061							
Strychnos potatorum							JF270953		JF938027			AJ133231	JF265611					AJ235841		
Spigelia marilandica						AJ236024			AF177991				L14007				AF209679	AF147713		
Spigelia anthelmia									JF937937		JX046145	AJ133232	JQ592406					AJ235840		
Logania vaginalis				AJ429677	AJ431035							AJ133227	Z68826		AJ430910			AJ235837		
Mitrasacme oasena					DQ660592				JF937932		JX046115		DQ660653	JX029156						
Geniostoma rupestre						GU476427		DQ499095	DQ499096	AM295097			Z68828		AF102430			AJ235835		
Logania albiflora									DQ358879		JX046141				AF102451	JX029172			DQ359162	
Strychnos minor					DQ660615		DQ660546	JF938041	JF938042				DQ660669							
Mostuea brunonis					HQ385186							AF064610	HQ384910		HQ412964		HQ384766	AJ235828	DQ131697	
Antonia ovata					AF004091				JF937925			AJ133225	GQ428617		AF102379			AJ235832		
Strychnos lucida	JX029180				DQ660614		AB636278		JF937993		JX046147		DQ660668							
Spigelia humboldtiana				HQ412906	HQ385188				JN005881				HQ384912		HQ412967		HQ384769	HQ384850		
Mitreola petiolata						GU476428			AF054635		JX046123	AJ133229	JQ592403		AF102460	JX029177		AJ235839	DQ131696	
Strychnos decussata		EU213691	EU214030				EU214293		JF937972				JF265609							
Strychnos madagascariensis		EU213695	EU214033				EU214296		JF937994				JF265610							
Strychnos spinosa	EF077181	EU213697	EU214036				EU214298	JF938048	JF938049				JF265613							
