taxon	unknown	rpoB	rpoC1	atpE	rps16	18S-ribosomal-RNA	matK	5.8S-ribosomal-RNA	5.8S-ribosomal-RNA.1	trnL	petD	rpb2-d	rbcL	unknown.1	trnL.1	unknown.2	atpB	ndhF	atpB.1	
Schizacme archeri											JX046120									
Norrisia malaccensis									JF937936											
Bonyunia aquatica									JF937926											
Bonyunia superba															AF214146					
Neuburgia novocaledonica									JF937935											
Logania flaviflora											JX046136									
Mostuea batesii																		EF077199		
Mostuea surinamensis																		EF077200		
Mostuea hirsuta																		EF077201		
Phyllangium paradoxum											JX046119									
Strychnos afzelii									JF937941											
Strychnos tabascana									JF938053											
Strychnos floribunda									JF937981											
Strychnos villosa									JF938065											
Strychnos ternata									JF938055											
Strychnos memecyloides									JF938001											
Strychnos mitis									JF938005											
Strychnos tseasnum									JF938062											
Strychnos asterantha									JF937947											
Strychnos medeola									JF937999											
Strychnos elaeocarpa									JF937976											
Strychnos rondeletioides									JF938031											
Strychnos hirsuta									JF937985											
Strychnos brachistantha									JF937955											
Strychnos lanata									JF937990											
Strychnos boonei									JF937953											
Strychnos samba									JF938033											
Strychnos colombiensis									JF937963											
Strychnos ngouniensis									JF938011											
Strychnos splendens									JF938050											
Strychnos rubiginosa									JF938032											
Strychnos vitiensis									JF938066											
Strychnos cuminodora									JF937966											
Strychnos cuniculina									JF937967											
Strychnos atlantica									JF937949											
Strychnos chlorantha									JF937959											
Strychnos scheffleri									JF938034											
Strychnos ecuadoriensis									JF937975											
Strychnos malchairii									JF937996											
Strychnos malacoclados									JF937995											
Strychnos oiapocensis									JF938016											
Strychnos borneensis									JF937954											
Strychnos pseudoquina									JF938028											
Strychnos peckii									JF938022											
Strychnos solimoesana									JF938038											
Strychnos diplotricha									JF937974											
Strychnos poeppigii									JF938025											
Strychnos dale									JF937968											
Strychnos umbellata									JF938063											
Strychnos dinklagei									JF937973											
Strychnos xinguensis									JF938068											
Strychnos chrysophylla									JF937960											
Strychnos cogens									JF937962											
Strychnos pentantha									JF938023											
Strychnos johnsonii									JF937989											
Strychnos wallichiana									JF937964											
Strychnos brasiliensis									JF937956											
Strychnos congolana									JF937965											
Strychnos polytrichantha									JF938026											
Strychnos icaja									JF938044											
Strychnos fallax									JF937979											
Strychnos xantha									JF938067											
Strychnos melinoniana									JF938000											
Strychnos panganensis									JF938019											
Strychnos fendleri									JF937980											
Strychnos parvifolia									JF938021											
Strychnos cocculoides									JF937961											
Strychnos myrtoides									JF938010											
Strychnos lucens									JF937991											
Strychnos camptoneura									JF937958											
Strychnos innocua									JF937987											
Strychnos jobertiana									JF937988											
Strychnos nicaraguensis									JF938012											
Strychnos campicola									JF937957											
Strychnos talbotiae									JF938054											
Strychnos matopensis									JF937997											
Strychnos nigricans									JF938013											
Strychnos ramentifera									JF938030											
Strychnos panurensis									JF938020											
Strychnos schunkei									JF938035											
Strychnos mattogrossensis									JF937998											
Strychnos phaeotricha									JF938024											
Strychnos eugeniifolia									JF937978											
Strychnos soubrensis									JF938039											
Spigelia texana									AF177997											
Spigelia linarioides									JN005880											
Spigelia splendens									JN005883											
Spigelia scabrella									JN005885											
Spigelia paraguariensis									JN005882											
Spigelia hamelioides									JN005879											
Spigelia coelostylioides									AF177992											
Spigelia loganioides									AF178000											
Spigelia genuflexa									JN005878											
Spigelia speciosa									JN005884											
Mitreola minima											JX046121					JX029168				
Mitreola sessilifolia											JX046122					JX029176				
Mitrasacme stellata											JX046107			JX029163						
Mitrasacme glaucescens											JX046116			JX029165						
Mitrasacme brachystemonea											JX046108			JX029162						
Mitrasacme serpyllifolia											JX046111			JX029157						
Mitrasacme subvolubilis											JX046113			JX029154						
Mitrasacme multicaulis											JX046117			JX029155						
Mitrasacme scrithicola											JX046109			JX029159						
