taxon	rpl16	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	
Xanthosia pilosa	GQ243897	GQ244168	
Xanthosia pusilla	GQ243898	GQ244169	
Xanthosia rotundifolia	GQ243899	GQ244170	
Xanthosia atkinsoniana	GQ243896	GQ244167	
Xanthosia tridentata	GQ243900	GQ244171	
