taxon	rpoB	5.8S-ribosomal-RNA	trnH	rps16	trnS-trnG-intergenic-spacer	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)	rpl32	unknown	26S-ribosomal-RNA	trnF	matK	rbcL	ndhF	atpB	PI	PI.1	
Alangium barbatum										FJ610048							
Alangium hirsutum										FJ610034							
Alangium grisolleoides										FJ610052							
Cornus drummondii		DQ340495															
Cornus asperifolia											DQ340454						
Cornus austrosinensis		DQ343135															
Cornus hessei								GU001659									
Mastixia eugenioides									AY260017								
Alangium kwangsiense										FJ610044	FJ644644						
Alangium longiflorum										FJ610031	FJ644638						
Alangium griffithii										FJ610049	FJ644646						
Alangium ridleyi										FJ610053	FJ644649						
Alangium villosum										FJ610051	FJ644647						
Alangium faberi										FJ610045	FJ644645						
Cornus monbeigii		DQ340505									DQ340462						
Cornus parviflora		DQ343136									DQ340465						
Cornus schindleri		DQ340519									DQ340473						
Cornus alpina		DQ340485									DQ340451						
Cornus bretschneideri		DQ340494									DQ340455						
Cornus stracheyi		DQ340520									DQ340474						
Cornus foemina		DQ340498									DQ340457						
Cornus ulotricha		DQ343140									DQ340475						
Cornus glabrata		DQ340499									DQ340458						
Cornus paucinervis		DQ340511									DQ340466						
Cornus wilsoniana		DQ340525									DQ340479						
Cornus koehneana		DQ340502									DQ340460						
Cornus hemsleyi		DQ340501									DQ340459						
Cornus excelsa		DQ340496									DQ340456						
Cornus pumila		DQ340514						GU001662			DQ340469						
Cornus obliqua		DQ340508									U96898	L11217					
Cornus alsophila		DQ340488									DQ340452					EU447712	
Cornus amomum		DQ343134						GU001655			DQ340453						
Cornus macrophylla		DQ340503				JN102170					DQ340461				EU439933		
Cornus alba		DQ340484						GU001654			DQ340450					EU447713	
Cornus elliptica		JQ910005						GU001656			DQ341341					EU447685	
Nyssa aquatica			EU734455	EU734473	EU734527	EU734491	EU734509										
Cornus multinervosa		DQ340556							DQ340442		DQ341346	DQ340448	EU373592	EU373570			
