taxon	rbcL	18S-rRNA	tRNA-Leu	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	rpl16	trnH-K1-intergenic-spacer	
Griselinia carlomunozii		AJ536579	AJ536854			AJ536845	
Griselinia scandens		AJ536586	AJ537461			AJ536853	
Griselinia ruscifolia				GQ243848	GQ244117	AJ536850	
Griselinia jodinifolia		AJ536580	AJ537454			AJ536846	
Griselinia racemosa	AF307915	AJ536583	AJ537458			AJ536849	
Griselinia lucida	L11225	DQ499122	AJ537456	GQ243847	GQ244116	AJ536848	
Griselinia littoralis	AF307916	AJ536581	AJ430958	GQ243846	GQ244115	AJ536847	
