taxon	matR	unknown	26S-ribosomal-RNA	rbcL	ndhF	atpB	
Shortia galacifolia		AY049800	AY260045				
Pyxidanthera barbulata		AY049797		AY049794			
Berneuxia thibetica		AY049798		AY049795	AY049793		
Shortia exappendiculata	AF421031	AY049804		AF421104		AF420983	
Galax urceolata		AY049796	AY727983	Z80184	AY725879	AY725936	
Diapensia lapponica		AY049799	AY727986	L12612	AY725881	AF420967	
Shortia uniflora	AY725895	AY049802	AY727985	AY725866	AY725880	AY725938	
Shortia soldanelloides	AF421030	AY049801	AY727984	AF421105	AF421083	AY725937	
