taxon	matK	rbcL	ndhF	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	rbcL.1	rpoB	
Lecythis tuyrana			DQ388221	DQ418028			
Lecythis confertiflora			DQ388210	DQ418014			
Lecythis corrugata	JQ626545	JQ626238					
Lecythis alutacea			DQ388244	DQ418011			
Lecythis pneumatophora			DQ388220	DQ418025			
Lecythis ampla			DQ388238	DQ418012			
Lecythis prancei		AF077651		DQ418027			
Lecythis pisonis			DQ388237	DQ427110			
Lecythis mesophylla			DQ388217	DQ418021			
Lecythis lanceolata			DQ388213	DQ418020			
Lecythis minor			DQ388216	DQ418022			
Lecythis holcogyne	JQ626539	JQ626217	DQ388236	DQ418016			
Lecythis chartacea	JQ626570	JQ626228	DQ388209	DQ418013			
Lecythis zabucajo	FJ514754		DQ388222	DQ418029	FJ038096	FJ817148	
Lecythis persistens	FJ514678	JQ626304		FJ039147	FJ038093	FJ038319	
Lecythis poiteaui	FJ514700	JQ626219	DQ388219	DQ418026	FJ038095	FJ038321	
Lecythis idatimon	FJ514644	JQ625974	DQ388214	DQ418019	FJ038091	FJ817166	
