taxon	rbcL-atpB-intergenic-spacer	matK	trnL	ndhF	rbcL	5.8S-ribosomal-RNA	trnK	
Zabelia integrifolia					HQ680731			
Zabelia dielsii					HQ680729			
Zabelia coreana					HQ680728			
Zabelia corymbosa		HQ693925	HQ693970	HQ693948	HQ680727			
Zabelia umbellata		GU168665	GU168727			GU168638	GU168690	
Zabelia mosanensis	GU168615	GU168661	GU168722			GU168634	GU168685	
Zabelia biflora	GU168613	GU168639	GU168721	HQ693952		GU168632	GU168684	
Zabelia tyaihyoni	GU168616	GQ983641	GQ984046	HQ693945	HQ680724	GU168635	GU168687	
Zabelia triflora	GU168617	HQ693923	GU168726	HQ693946	HQ680725	GU168637	GU168689	
