taxa_in_original_tree	species	taxon_id	total	rbcL	matK	rps16	ndhF	perforation plate type
Phellinaceae	Phelline lucida	92224	4	AJ238347	AJ429388	AJ431100	AJ238343	scalariform
Aquifoliales	Phyllonoma ruscifolia	185785	2	NA	AJ429377	AJ431090	NA	scalariform
ericalean_lineage	Pieris formosa	49158	2	AF124581	U61303	NA	NA	scalariform
rest_of_Apiales	Pittosporum tobira	43073	3	NA	HM850706	AB178609	AF130201	simple
rest_of_Apiales	Plerandra insolita	256627	2	NA	NA	JX106161	JX106042	scalariform
Escalloniales	Polyosma cunninghamii	124854	4	AF299091	AJ429368	AJ431079	AJ419702	scalariform
"Oncothecaceae,_Metteniusaceae,_Icacinaceae"	Poraqueiba guianensis	597260	2	FJ038063	JQ626457	NA	NA	scalariform
Gentianales	Posoqueria latifolia	58460	3	GQ981837	NA	FM204728	AM949855	simple
Gentianales	Potalia resinifera	84952	2	AJ235816	NA	NA	AJ235831	simple
rest_Ericales	Pouteria guianensis	357088	3	FJ038183	JQ413943	NA	DQ246711	simple
ericalean_lineage	Prionotes cerinthoides	55259	2	U79743	AF015642	NA	NA	scalariform
Quintinia	Quintinia verdonii	49618	3	NA	AJ429366	AJ431077	AJ238344	scalariform
Rousseaceae	Roussea simplex	39022	3	AF084477	AJ429389	NA	AJ277384	scalariform
balsaminoid_Ericales	Ruyschia phylladenia	164980	2	AF303128	NA	NA	AF303490	simple
Sambucus	Sambucus adnata	57203	2	JF944173	HQ714358	NA	NA	simple
Sambucus	Sambucus cerulea	57006	2	AJ420867	HQ714363	NA	NA	simple
Sambucus	Sambucus chinensis	1045114	2	JF944185	HQ714366	NA	NA	simple
ericalean_lineage	Saurauia tristyla	374845	2	KR529999	EU310435	NA	NA	scalariform
rest_of_Apiales	Schefflera hypoleucoides	126697	3	AY753247	NA	KC952155	KC952419	scalariform
Lamiales	Schlegelia parviflora	39369	3	NA	AJ429345	AJ431057	L36410	simple
balsaminoid_Ericales	Schwartzia costaricensis	164985	2	JQ594913	NA	NA	AF303493	simple
Solanales	Solanum arboreum	45833	3	JQ594140	JQ589580	NA	U47417	simple
balsaminoid_Ericales	Souroubea exauriculata	164987	2	AF303125	NA	NA	AF303494	simple
Sphenostemon	Sphenostemon lobosporus	125002	3	NA	GQ983660	GQ983981	GQ983668	scalariform
early_diverging_Apiaceae	Steganotaenia araliacea	59178	3	JQ025095	EU214290	AF110595	NA	simple
ericalean_lineage	Stewartia sinensis	182325	2	AF380061	AF380106	NA	NA	scalariform
Gentianales	Strychnos ludica	403120	3	DQ660668	AB636278	DQ660614	NA	simple
ericalean_lineage	Styrax americana	13700	3	L12623	KJ773191	NA	AF130215	scalariform
Symphoricarpos	Symphoricarpos albus	13702	3	L11682	GQ284948	NA	AF161291	simple
Symphoricarpos	Symphoricarpos orbiculatus	105885	3	AF446934	GQ284970	NA	AF130195	simple
ericalean_lineage	Symplocos caudata	239693	2	KJ688589	KJ687836	NA	NA	scalariform
Lamiales	Syringa reticulata	126367	3	NA	JN590998	AF225291	JN591038	simple
Lamiales	Tabebuia ochracea	429707	3	NA	JQ587051	JN686527	EF105038	simple
Lamiales	Tecoma stans	69904	3	NA	HQ384522	JN686528	AF130145	simple
Lamiales	Thomandersia hensii	324796	3	NA	FN773560	FN794112	AY919284	simple
Torricellia	Torricellia tiliifolia	138902	3	AF299089	NA	AJ431087	AJ429127	simple
rest_of_Apiales	Trevesia palmata	46421	4	KR530153	KR531592	KF591535	KF591508	simple
Escalloniales	Tribeles australis	124970	4	AJ403010	AJ429369	AJ431080	AJ429123	scalariform
rest_of_Apiales	Tupidanthus calyptratus	46423	2	U50259	U58622	NA	NA	scalariform
ericalean_lineage	Vaccinium membranaceum	190542	2	NA	AF419711	NA	AF419755	scalariform
Gentianales	Vangueria madagascariensis	43577	3	JF265645	NA	HM164229	AJ130840	simple
Vesalea	Vesalea coriacea	1630342	2	KP297696	KP297536	NA	NA	scalariform
Viburnum	Viburnum clemensae	237929	4	HQ591714	AY265163	KJ795482	HQ591648	scalariform
Viburnum	Viburnum opulus	85293	4	KP088910	HQ591611	KJ795492	HQ591679	scalariform
Viburnum	Viburnum punctatum	1127654	4	KF019790	KF019934	KJ795494	KF019768	scalariform
Weigela	Weigela florida	79612	2	NA	GU168657	NA	AF367421	scalariform
Weigela	Weigela hortensis	79614	2	NA	AF446908	NA	AF447028	scalariform
Alseuosmiaceae	Wittsteinia vacciniacea	49932	2	X87399	NA	NA	AJ238345	scalariform
Zabelia	Zabelia corymbosa	863425	3	HQ680727	HQ693925	NA	HQ693948	simple
Zabelia	Zabelia triflora	86867	3	AF206727	HQ693923	NA	HQ693946	simple
Zabelia	Zabelia tyaihyoni	761861	3	GQ983786	HQ693922	NA	HQ693945	simple
