taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF	perforation plate type								
Abelia	Abelia chinensis	3	HQ680737	AY310461	NA	HQ693958	scalariform								
Abelia	Abelia floribunda	3	HQ680733	GU168641	NA	HQ693954	scalariform		taxa in red are taxa from which I have found additional sequences from GenBank						
Abelia	Abelia spathulata	3	HQ680743	GU168646	NA	HQ693964	scalariform								
Alseuosmiaceae	Crispiloba disperma	3	X87382	GQ983650	NA	AJ238338	scalariform								
Alseuosmiaceae	Alseuosmia macrophylla	3	X87377	AJ429378	NA	AJ238334	scalariform								
Alseuosmiaceae	Wittsteinia vacciniacea	2	X87399	NA	NA	AJ238345	scalariform								
Aquifoliales	Helwingia japonica	4	X94941	AJ430195	AJ431089	AF130207	scalariform								
Aquifoliales	Ilex cornuta	4	AF471624	GQ997309	GQ997365	GQ997315	scalariform								
Aquifoliales	Cardiopteris quinqueloba	3	NA	AJ429310	AJ431021	AJ312963	simple								
Aquifoliales	Discophora guianensis	2	NA	JQ626375	NA	AJ312964	scalariform								
Aquifoliales	Phyllonoma ruscifolia	2	NA	AJ429377	AJ431090	NA	scalariform								
Aralidium	Aralidium pinnatifidum	3	AF299087	NA	AJ431083	AJ429126	scalariform								
Argophyllaceae	Argophyllum nullumense	2	KM895989	KM894822	NA	NA	scalariform								
Argophyllaceae	Corokia cotoneaster	3	L11221	AY491646	NA	AF130182	scalariform								
Boraginales	Cordia nevillii	3	HQ384923	NA	HQ385199	HQ384860	simple								
Boraginales	Cordia dentata	3	JQ590888	JQ587086	HQ286263	NA	simple								
Boraginales	Cordia sagotii	2	FJ037971	FJ514773	NA	NA	simple								
Bruniales	Brunia albiflora	3	AY490988	NA	AJ431072	AF060159	scalariform								
Bruniales	Berzelia lanuginosa	3	L14391	NA	GQ984001	AJ236241	scalariform								
Bruniales	Desfontainia spinosa	3	Z29670	NA	AJ431074	AJ011988	scalariform								
Bruniales	Columellia oblonga	3	Y10675	NA	AJ431073	AF060160	scalariform								
Cornales	Cornus nuttallii	4	AF006833	U96897	FJ541998	EU373590	scalariform								
