taxon	matK	rpoB	spo-9	Pvr1	Pvr1.1	Waxy	atpE	rpoc1	cox1	rps2	unknown	GGR	5-enolpyruvylshikimate-3-phosphate-synthase	F3H	OSM1	endochitinase	beta-1,3-glucanase	LEAFY	unknown.1	5S-rRNA	NIA	matK.1	rpi-vnt1-like-protein	S	S.1	psbE	CHS-E	hypothetical-protein	COSII_At1g20050	COSII_At1g50020-like-protein	COSII_At2g38020	COSII_At5g14320	COSII_At2g38020.1	rpl32	rps16-trnQ(UUG)-intergenic-spacer	rpl32.1	AT3-1	At1g14300-like-protein	NIA.1	rps16	P	At5g04590-like-protein	unknown.2	TBP1	atpB	trnH-psbA-intergenic-spacer;-may-contain-psbA	At3g24010-like-protein	At3g62940-like-protein	18S-ribosomal-RNA	rbcL	nepGS	osmotin	lfy	glo	rpoC1	S1-RNase	beta-amylase	beta-amylase.1	phyA	trnK(UUU)-rps16-intergenic-spacer	COSII_At1g13380	trnY	contains-promoter-and-5'-UTR	ANS	transposase	unknown.3	H6H	rps3	At1g44760-like-protein	COSII_At2g15890	COSII_At3g10920	putative-progesterone-5-beta-reductase	3-methylcrotonyl-CoA-carboxylase	trnL	flavonoid-3'-hydroxylase	unknown.4	bHLH1	RPB2	adh	unknown.5	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer.1	rpl16	ITS1	chloroplast-glutamine-synthetase	bHLH2	ndhF	ITS2	rpl2	waxy	putative-Pto-like-serine/threonine-kinase	PMT	MPF1-like-protein	S.2	GBSSI	petN	psbB-psbH-intergenic-spacer	NAMT	rbcL.1	disease-resistance-protein-RGH4	TPS17	NADH-dehydrogenase-subunit-1	psbA	5.8S-ribosomal-RNA	PI	myb1	trnS(GCU)-trnG(UCC)-intergenic-spacer	26S-ribosomal-RNA	infA	trnT-trnL-intergenic-region	18S-ribosomal-RNA.1	trnL.1	ndhJ	LFY	S.3	unknown.6	16S-rRNA	WDR1	S.4	S.5	S1-RNase.1	MADS	MPF2-like	unknown.7	NtoDFR	
Dyssochroma viridiflora									JF966317																																																																														EU580878																									EU580989														
Cordisepalum thorelii																										AY100940																																																																									AY101049													AY101158														
Schultesianthus leucanthus									JF966339																																																																														EU580940																									EU581055														
Nierembergia veitchii	DQ995350																		AY560050																																																																AY538156																																											
Nierembergia aristata																			AY560046																																																					HM153413											AY538137																																											
Nierembergia frutescens	EF438948																																												AM233331																																																																														EF395194			
Brunfelsia picardae																			JQ081214																																																																				JQ081163																									JQ081109														
Brunfelsia macrocarpa																			JQ081205																																																																				JQ081154																									JQ081101														
Brunfelsia dwyeri																			JQ081193																																																																				JQ081142																									JQ081088														
Brunfelsia shaferi																			JQ081220																																																																				JQ081168																									JQ081115														
Brunfelsia plowmaniana																			JQ081227																																																																				JQ081175																									JQ081121														
Brunfelsia imatacana																			JQ081199																																																																				JQ081148																									JQ081095														
Brunfelsia acunae																			JQ081177																																																																				JQ081125																									JQ081072														
Brunfelsia purpurea																			JQ081219																																																																				JQ081167																									JQ081113														
Brunfelsia cestroides																			JQ081185																																																																				JQ081136																									JQ081080														
Brunfelsia maliformis																			JQ081207																																																																				JQ081156																									JQ081103														
Brunfelsia mire																			JQ081209																																																																				JQ081158																									JQ081105														
Brunfelsia martiana																			JQ081208																																																																				JQ081157																									JQ081104														
Brunfelsia chiricaspi																			JQ081187																																																																				JQ081137																									JQ081082														
Brunfelsia australis																			JQ081181																																																																				JQ081129																									JQ081074														
Brunfelsia sinuata																			JQ081222																																																																				JQ081170																									JQ081118														
Brunfelsia linearis																			JQ081204																																																																				JQ081153																									JQ081100														
Brunfelsia guianensis																			JQ081195																																																																				JQ081143																									JQ081090														
Brunfelsia clandestina																			JQ081188																																																																				JQ081138																									JQ081083														
Brunfelsia pluriflora																			JQ081216																																																																				JQ081164																									JQ081111														
Brunfelsia clarensis																			JQ081189																																																																				JQ081139																									JQ081084														
Brunfelsia hydrangeiformis																			JQ081197																																																																				JQ081146																									JQ081093														
Brunfelsia boliviana																			JQ081182																																																																				JQ081131																									JQ081076														
Brunfelsia nitida																			JQ081210																																																																				JQ081160																									JQ081106														
