taxon	trnS	trnH-psbA-intergenic-spacer	trnL	ndhJ	atp1	rps2	rbcL	matR	unknown	18S-ribosomal-RNA	RPC1	DRF	putative-CBF/DREB-transcription-factor	RPB2I	trnS-trnG-intergenic-spacer	rpL16	rpoB	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer-and-tRNA-His-(trnH)	matK	waxy	putative-UBC35/UBC13A	putative-Lhcb3	atpB-rbcL-intergenic-spacer	rbcL.1	rpoC1	RBP2I	RPB2	RPB2D	RPB2D.1	trnL-trnF-intergenic-spacer	RPC1.1	RPB2I.1	rpoB.1	28S-ribosomal-RNA	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	unknown.1	unknown.2	COX3	phyA	trnT	putative-cytosolic-glutathione-reductase	trnS-trnG-intergenic-spacer.1	nad1	28S-ribosomal-RNA.1	trnT-trnL-intergenic-spacer	26S-ribosomal-RNA	RPB2I.2	RPB2I.3	RPB2I.4	ndhF	atpB	
Erica areolata																																						HQ858914															
Erica calcareophila																																						HQ858957															
Erica petricola																																						HQ859194															
Erica passerinae																																						HQ859181															
Erica cristiflora																																						HQ858990															
Erica baccans																																						HQ858932															
Erica articularis																																						HQ858920															
Erica bodkinii																																						HQ858942															
Erica shannonii																																						HQ859267															
Erica phillipsii																																						HQ859199															
Erica bracteolaris																																						HQ858945															
Erica senilis																																						HQ859262															
Erica russakiana																																						HQ859254															
Erica magistrati																																						HQ859139															
Erica intervallaris																																						HQ859102															
Erica dominans																																						HQ859018															
Erica rusticula																																						HQ859255															
Erica silvatica																																						HQ859269															
Erica involucrata																																						HQ859103															
Erica erina																																						HQ859027															
Erica pauciovulata																																						HQ859185															
Erica lepidota																																						HQ859119															
Erica patens																																						HQ859182															
Erica pulchelliflora																																						HQ859226															
Erica penicilliformis																																						HQ859189															
Erica bolusiae																																						HQ858943															
Erica propendens																																						HQ859222															
Erica velatiflora																																						HQ859322															
Erica nudiflora																																						HQ859160															
Erica inaequalis																																						HQ859094															
Erica filago																																						HQ859043															
Erica eriocephala																																						HQ859028															
Erica triflora																																						HQ859306															
Erica thunbergii																																						HQ859298															
Erica stokoei																																						HQ859285															
Erica ferrea																																						HQ859041															
Erica alticola																																						HQ858903															
Erica flexistyla																																						HQ859050															
Erica rakotozafyana																																						HQ859228															
Erica sperata																																						HQ859279															
Erica physodes																																						HQ859200															
Erica reunionensis																																						HQ859242															
Erica hirtiflora																																						HQ859084															
Erica rubiginosa																																						HQ859252															
Erica plumosa																																						HQ859216															
Erica gracilis																																						HQ859074															
Erica coacervata																																						HQ858979															
