taxon	Pvr1	Pvr1.1	unknown	h6h	GGR	atpB-rbcL-intergenic-spacer-region	osmotin-like-protein	endochitinase	beta-1,3-glucanase	LEAFY	5.8S-ribosomal-RNA	5S-rRNA	NIA	18S-ribosomal-RNA	rpi-vnt1-like-protein	S	self-incompatability-glycoprotein-(allele-S6)	trnK	CT179	hypothetical-protein	hypothetical-protein.1	COSII_At5g14320	COSII_At2g38020	GA3ox2	rpl32	rps16-trnQ(UUG)-intergenic-spacer	AT3-2	rpl16	At1g14300-like-protein	trnY	CYP75	NIA.1	Dfr	At5g04590-like-protein	atpB	ITS1	At3g24010-like-protein	At3g62940-like-protein	trnL	psbA-trnH-intergenic-spacer	COSII_At1g50020-like-protein	rpl32.1	nepGS	MPF2-like	osmotin	COSII_At3g03100-marker	lfy	glo	COSII_At2g38020.1	phyA2	rps16	MCC	COSII_At1g13380	contains-promoter-and-5'-UTR	trnH-trnK-intergenic-spacer	unknown.1	unknown.2	unknown.3	trnL-trnF-intergenic-spacer	cox1	unknown.4	At1g44760-like-protein	COSII_At2g15890	COSII_At3g10920	RanGAP2	adh	unknown.5	trnS-trnG-intergenic-spacer	chloroplast-glutamine-synthetase	ndhF	putative-Pto-like-serine/threonine-kinase	fed	matK	PMT2	MPF1-like-protein	infA	S.1	rpS16	trnC-psbM-intergenic-spacer	SAMT	disease-resistance-protein-RGH5	TPS17	PI	trnT	18S-ribosomal-RNA.1	GBSSI	S.2	ndhJ	LFY	S.3	psbB-psbH-intergenic-spacer	unknown.6	rpoB	DEF	
Petunia riograndensis																															AB244236																																										AB262068																						
Petunia guarapuavensis																															AB244230																																										AB262059																						
Petunia interior																															AB244231																																										AB262063																						
Petunia occidentalis																															AB244234																																										AB262066																						
Petunia bajeensis																															AB244223																																										AB262056																						
Tzeltalia calidaria											AY665855																																																																											AY665930									
Latua pubiflora																																							EU581010																															EU580903																									
Withania aristata																																												FN179209																															FN179202																				
Sclerophylax adnatifolia																																							EU581058																															EU126016																									
Sclerophylax gilliesii																																							EU581059																															EU580943																									
Tsoala tubiflora																																							EU581065																															EU580949																									
Leucophysalis viscosa											AY665848																																																																											AY665927									
Datura ferox											HQ658584													AF323950																																																																							
Datura quercifolia											HQ658598																																																													AB188670																							
Vassobia fasciculata					EU292962																																																																				EF439079																						
Jaborosa sativa																																							EU581005																															EU580897																									
Scopolia lutescens			AY478409																																	AY478394																																																											
Leptoglossis linifolia											AY560049																	AY538160																																																																			
Witheringia correana																																																													JQ594552												JQ589584																						
Witheringia cuneata																																							EU581070																															EU126018																									
Combera paradoxa																																							EU580980																															EU580873																									
Melananthus guatemalensis																																							EU581029																															EU580913																									
Nectouxia formosa																																							EU581031																															EU580915																									
Cuatresia exiguiflora																																							EU580981																															EU126010																									
Cuatresia riparia																																							EU580982																															EU126011																									
Brunfelsia pilosa											JQ081215																												JQ081110																																																								
Brunfelsia abbotti																																							JQ081071																															JQ081124																									
Brunfelsia burchellii																																							JQ081079																															JQ081134																									
Brunfelsia cuneifolia											JQ081190																																																JQ081085																																				
Schultesianthus megalandrus																																							EU581056																															EU580941																									
Nicotiana forsteri																																															HE962986																			HE962560																													
Lycianthes lenta						AF397093																																																																DQ667564																									
Lycianthes surotatensis																																							AY348996																															DQ667580																									
Lycianthes pauciflora																																																													JQ594156												JQ589253																						
Lycianthes peduncularis																																							EU581020																															DQ667570																									
Anthocercis racemosa																																							AY098688																													AJ585015																											
Schwenckia lateriflora																																																													AF035739									AY206749																									
Schwenkia americana																																																													JQ594138												JQ589238																						
Schwenckia glabrata																																							EU581057																															EU580942																									
Discopodium penninervium																																							EU580986																															EU126012																									
Merinthopodium neuranthum																																							EU581030																															EU126014																									
Salpiglossis erecta											DQ508651																																																																									DQ508583											
Duboisia hopwoodii																																							EU580987																															EU580876																									
Solanum morellifolium											AY996532																																																									AY998444																											
Solanum hirsutissimum																																			AM233138																																						EF439025																						
Solanum hazenii																																																													JQ594160												JQ589258																						
Solanum wallacei											AF244741																																																											U47426																									
Solanum reptans											AY996548																																																									AY998463																											
Solanum pittosporifolium																																																													JF944460												JF956499																						
Solanum candolleanum											AY875824																																																																											AY875442									
Solanum flagelliferum											HQ721857																												HQ721921																																																								
Solanum incamayoense											AY875844																																																																																	EF620632			
Solanum ruvu											HQ721877																												HQ721941																																																								
Solanum morelliforme											AY875765		FJ155436																																																																																		
Solanum renschii																																			AM233129																																						EF439034																						
Solanum celsum																																							JN661820																																															JN661837									
Solanum melanospermum											DQ364739																																																														EU983565																						
Solanum humboldti																																			AM233106																																						EF439075																						
Solanum ramonense																																																													JQ594556												JQ589569																						
Solanum diphyllum																																																													GU135208												GU134970																						
Solanum manaense																																			AM233133																																						EF439030																						
Physalis pumila											AY665909																																																																											AY665967									
Physalis sordida											AY665869																																																																											AY665948									
Physalis greenmanii											AY665893																																																																											AY665942									
Physalis arenicola											AY665880																																																																											AY665964									
Physalis arborescens											AY665866																																																																											AY665936									
Physalis cordata											AY665886																																																																											AY665952									
Physalis glutinosa											AY665892																																																																											AY665943									
Physalis microcarpa											AY665903																																																																											AY665947									
Physalis walteri											AY665918																																																																											AY665973									
Physalis microphysa											AY665859																																																																											AY665933									
Physalis angustifolia											AY665878																																																																											AY665972									
Physalis lanceolata											AY665899																																																																											AY665962									
Physalis chenopodiifolia											AY665883																																																																											AY665960									
Physalis caudella											AY665891																																																																											AY665946									
Physalis hederifolia											AY665894																																																																											AY665968									
Physalis mollis											AY665908																																																																											AY665970									
Physalis lagascae											AY665898																																																																											AY665954									
Nierembergia hatschbachii											AY859092																	AY859093																																																																			
Nierembergia browallioides											AY560043																	AY538138																																																																			
Nierembergia rigida											AY560056																	AY538151																																																																			
Nierembergia boliviana											AY858102																	AY598595																																																																			
Nierembergia spathulata											AY858109																	AY598601																																																																			
Nierembergia aristata											AY560046																	AY538137																																																																			
Nierembergia pinifolia											AY858106																	AY538147																																																																			
Nierembergia angustifolia											AY560059																	AY538136																																																																			
Nierembergia micrantha											EF156755																	EF156754																																																																			
Nierembergia ericoides											AY560048																	AY538140																																																																			
Nierembergia tucumanensis											AY560039																	AY538155																																																																			
Nierembergia hippomanica																																							EU581033																															EU580917																									
Nierembergia graveolens											AY858105																	AY598598																																																																			
Nierembergia rivularis											AY560060																	AY538152																																																																			
Nierembergia calycina											AY560037																	AY538139																																																																			
Nierembergia repens											AY560058																	AY538150																																																																			
Brugmansia suaveolens																																																													HM849829												HM851090																						
Plowmania nyctaginoides																																							EU581048																															EU580932																									
Browallia eludens																																							EU580964																															EU580865																									
Cestrum rigidum																																							EU580975																															EU126007																									
Cestrum strigilatum																																							EU580976																															EU126008																									
Cestrum pittieri																																							EU580974																															EU126006																									
Cestrum psittacinum																																																									AF495753	AF495751																																					
Nothocestrum latifolium																																							EU581037																															EU580921																									
Nothocestrum longifolium																																							EU581038																															EU580922																									
Larnax subtriflora			AF211345																																				AF212037																															EU580902																									
Capsicum lycianthoides											DQ314158																																																											DQ667542																DQ309468									
Capsicum campylopodium																																								EF537235																																	EF537295													EF537150									
Dyssochroma viridiflora																																							EU580989																					JF966317										EU580878																									
Sessea stipulata											DQ508653																																																DQ508619																									DQ508585											
Sessea vestita											DQ508654																																																DQ508620																									DQ508586											
Withania riebeckii																																							AF212023					FN179218																															FN179192																				
Lycium gilliesianum																																							DQ124587																																													DQ124464		DQ124526									
Lycium horridum																																							DQ124589																																													DQ124466		DQ124528									
Lycium intricatum																																							DQ124591																																													DQ124468		EF137778									
Lycium schweinfurthii																	HM195090																																																																					EF137790				HM195085					
Eriolarynx fasciculata											DQ314196																																																																											DQ309504			DQ301552						
Datura leichhardtii											HQ658593																												EU580983																															EU580874																									
Scopolia parviflora			AY478407	AY762992																																AY478391																																																											
Iochroma parvifolium											DQ314195																																																																											DQ309503			DQ301551						
Iochroma grandiflorum											DQ314170																																																																											DQ309480			DQ301523						
Iochroma cornifolium											DQ314177																																																																											DQ309487			DQ301532						
Iochroma ellipticum											DQ314199																																																																											DQ309507			DQ301555						
Iochroma lehmannii											DQ314200																																																																											DQ309511			DQ301556						
Iochroma squamosum											DQ314186																																																																											DQ309494			DQ301541						
Iochroma calycinum											DQ314201																																																																											DQ309512			DQ301557						
Iochroma nitidum											DQ314168																																																																											DQ309478			DQ301521						
Iochroma stenanthum											DQ314184																																																																											DQ309508			DQ301539						
Iochroma edule											DQ314193																																																																											DQ309500			DQ301548						
Iochroma confertiflorum											DQ314176																																																																											DQ309486			DQ301531						
Iochroma salpoanum											DQ314187																																																																											DQ309509			DQ301542						
Jaltomata repandidentata																																																													JQ594126												JQ589228													GU256352									
Jaltomata hunzikeri					EU292973																														AM233340																																						EF438939																						
Jaltomata grandiflora																																							EU581007																															EU580899																GU256350									
Jaltomata sinuosa																																							DQ180418																															EU580900																DQ169009									
Witheringia mexicana																																							EU581073																					JF966346										EU580953																									
Witheringia maculata																AF102070																																																													AF102065										AF102073								
Saracha quitensis											DQ314178																																																																											DQ309488			DQ301533						
Brunfelsia cestroides											JQ081185																												JQ081081																															JQ081136																									
Brunfelsia australis											JQ081181																												JQ081074																															JQ081129																									
Brunfelsia clarensis											JQ081189																												JQ081084																															JQ081139																									
Brunfelsia purpurea											JQ081219																												JQ081113																															JQ081167																									
Brunfelsia dwyeri											JQ081193																												JQ081088																															JQ081142																									
