taxon	trnK	5.8S-ribosomal-RNA	
Staavia dregeana	AY490961	AY494035	
Staavia dodii	AY490962	AY494036	
Staavia verticillata	AY490967	AY494041	
Staavia phylicoides	AY490968	AY494042	
Staavia radiata	AY490963	AY494037	
Staavia zeyheri	AY490964	AY494038	
Staavia brownii	AY490966	AY494040	
Staavia comosa	AY490965	AY494039	
Staavia glutinosa	AY490960	AY494034	
