taxon	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	ndhF	
Napoleona leonensis	DQ418032	DQ388163	
Napoleona vogelii	DQ418033	DQ388164	
Napoleona imperialis	DQ418031	AJ236258	
