taxa_in_original_tree	include	names_to_query	more_specific_woody_taxa_included	"perforation_type:_SCAL_=_scalariform,_SIM_=_simple"
Cornales	1	"Cornaceae, Grubbiaceae, Curtisiaceae, Nyssaceae, Hydrangeaceae"	"Cornaceae, Grubbiaceae, Curtisiaceae, Nyssaceae, Hydrangeaceae"	SCAL
balsaminoid Ericales	1	"Tetrameristaceae, Marcgraviaceae"	"Tetrameristaceae, Marcgraviaceae"	SIM
Fouquieriaceae	1	Fouquieria	Fouquieria	SIM
Polemoniaceae	0		"mostly herbaceous, potentially secondarily woody"	
Napoleonaeoideae	1	Napoleonaea	Napoleonaea	SIM/SCAL
Scytopetaloideae	1	"Asteranthos, Brazzeia, Crateranthus, Oubanguia, Pierrina, Rhaptopetalum, Scytopetalum"	"Asteranthos, Brazzeia, Crateranthus, Oubanguia, Pierrina, Rhaptopetalum, Scytopetalum"	SCAL
rest of Lecythidaceae	1	"Abdulmajidia, Allantoma, Barringtonia, Bertholletia, Careys, Cariniana, Chydenanthus, Corythophora, Couratari, Couroupita, Eschweilera, Foetidia, Grias, Gustavia, Lecythis, Petersianthus, Planchonia"	"Abdulmajidia, Allantoma, Barringtonia, Bertholletia, Careys, Cariniana, Chydenanthus, Corythophora, Couratari, Couroupita, Eschweilera, Foetidia, Grias, Gustavia, Lecythis, Petersianthus, Planchonia"	SIM
rest Ericales	1	"Sapotaceae, Ebenaceae, Primulaceae"	"Sapotaceae, Ebenaceae, Primulaceae"	SIM
ericalean lineage	1	"Actinidiaceae, Clethraceae, Cyrillaceae, Ericaceae, Theaceae, Symplocaceae, Styracaceae, Diapensiaceae"	"Actinidiaceae, Clethraceae, Cyrillaceae, Ericaceae, Theaceae, Symplocaceae, Styracaceae, Diapensiaceae"	SCAL
"Oncothecaceae, Metteniusaceae, Icacinaceae"	1	"Oncotheca, Apodytes, Metteniusa, Poraqueiba, Calatola, Dendrobangia, Raphiostylis, Emmotum, Stachyanthus, Oecopetalum, Ottoschulzia, Phytocrene, Iodes, Mappia, Icacina, Casinopsis"	"Oncotheca, Apodytes, Metteniusa, Poraqueiba, Calatola, Dendrobangia, Raphiostylis, Emmotum, Stachyanthus, Oecopetalum, Ottoschulzia, Phytocrene, Iodes, Mappia, Icacina, Casinopsis"	
Garryales	1	"Garrya, Aucuba, Eucommia"	"Garrya, Aucuba, Eucommia"	SCAL
Gentianales	1	"Rubiaceae, Loganiaceae, Gelsemiaceae, Gentianaceae, Apocynaceae"	"Rubiaceae, Loganiaceae, Gelsemiaceae, Gentianaceae, Apocynaceae"	SIM
Solanales	1	"Montiniaceae,  Convolvulaceae, Solanaceae"	"Montiniaceae,  Convolvulaceae, Solanaceae"	SIM
