taxon	trnL	5.8S-ribosomal-RNA	
Garrya buxifolia		JN234734	
Garrya wrightii		JN234753	
Garrya fremontii	JN234726	JN234741	
Garrya elliptica	JN234723	JN234736	
Garrya veatchii	JN234732	JN234752	
Garrya flavescens	JN234724	JN234738	
Garrya grisea	JN234728	JN234746	
Garrya glaberrima	JN234727	JN234743	
Garrya laurifolia	JN234729	JN234747	
Garrya lindheimeri	JN234730	JN234749	
Garrya ovata	JN234731	JN234750	
