taxon	rbcL	26S-ribosomal-RNA	trnF	psbA	unknown	rps16	trnS-trnG-intergenic-spacer	psbA.1	contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)-gene	matK	
Nyssa aquatica					EU734437	EU734473	EU734527	EU734455	EU734491		
Nyssa ogeche	L01937	AF297545	JF321163	JF321238						U96886	
Nyssa wenshanensis					JQ280762	EU734482	EU734535	EU734463	EU734499	JQ280859	
Nyssa shangszeensis					JF977168	EU734476	EU734530	EU734457	EU734493	JQ280863	
Nyssa shweliensis					EU734448	EU734484	EU734537	EU734466	EU734502	JQ280868	
Nyssa javanica					EU734449	EU734486	EU734540	EU734468	EU734504	JQ280873	
Nyssa yunnanensis	AF384106				JQ280776	EU734488	EU734541	EU734470	EU734506	JQ280872	
Nyssa sinensis	JF308651	JF321103	JF321162	JF321237	JF977169	EU734480	EU734534	EU734459	EU734495	JQ280856	
Nyssa sylvatica	AF119178	AY260018	JF321161	JF321236	EU734438	EU734474	EU734528	EU734456	EU734492	JQ280853	
