taxon	matK	ndhF	trnL	rbcl	
Couratari gloriosa				JQ626151	
Couratari tauari			AF077646	Z80177	
Couratari stellata		DQ388196	DQ417950		
Couratari macrosperma		DQ388194	DQ417947		
Couratari multiflora	JQ626511	DQ388195	AY172770		
Couratari calycina	JQ626524	DQ388192	DQ417945	JQ626169	
Couratari guianensis	JQ626563	DQ388193	DQ417946	JQ626273	
Couratari oblongifolia	FJ514751	DQ388197	DQ417949	JQ626050	
