taxon	rps16	trnK	5.8S-rRNA	ndhF	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	
Buddleja lindleyana					AF380864	
Buddleja parviflora					AF380853	
Buddleja globosa					AF380851	
Buddleja hemsleyana					AF380863	
Buddleja cordata					AF380850	
Buddleja thyrsoides			AJ550579			
Buddleja nivea					AF380866	
Buddleja venenifera					AF380867	
Buddleja racemosa					AF380854	
Buddleja colvilei					AF380859	
Buddleja americana					AF380848	
Buddleja salviifolia					AF380847	
Buddleja fallowiana					AF380862	
Buddleja bullata					AF380849	
Buddleja loricata					AF380846	
Buddleja scordiodes					AF380855	
Buddleja macrostachya					AF380865	
Buddleja utahensis					AF380856	
Buddleja yunnanensis					AF380868	
Buddleja araucana					HM216599	
Buddleja crispa					JN825722	
Buddleja polystachya			AJ550577		AJ551271	
Buddleja marrubiifolia			AF363671		AF380852	
Buddleja alternifolia		AF531772			AF380857	
Buddleja saligna	AJ609203		AJ550578	AJ401397		
Buddleja davidii	HQ385169	HQ384530		AF130143	AJ608612	
Buddleja asiatica	AJ431058	AJ429346		AF027277	AF380858	
